n,N,phylometric,statistic,p,epoch,mut_distn
50,7,colless_like_index,265.97306373626384,1.5768832105180409e-54,0,np.random.exponential
50,7,mean_pairwise_distance,254.73968449328436,3.980180105925398e-52,0,np.random.exponential
50,7,num_ancestors,281.47348550217697,7.599162651866576e-58,0,np.random.exponential
50,7,mean_evolutionary_distinctiveness,340.1784185592187,1.9798170393294457e-70,0,np.random.exponential
50,7,colless_like_index,266.1814271062269,1.4230792052007214e-54,0,np.random.standard_normal
50,7,mean_pairwise_distance,290.99626666666654,6.944132320420735e-60,0,np.random.standard_normal
50,7,num_ancestors,285.01495936081193,1.3259529420797406e-58,0,np.random.standard_normal
50,7,mean_evolutionary_distinctiveness,335.20224664224656,2.314532004690998e-69,0,np.random.standard_normal
50,7,colless_like_index,256.6560351648352,1.5496417216869407e-52,2,np.random.exponential
50,7,mean_pairwise_distance,234.792634920635,7.262807031763435e-48,2,np.random.exponential
50,7,num_ancestors,286.1901471576494,7.42828133424713e-59,2,np.random.exponential
50,7,mean_evolutionary_distinctiveness,336.19878290598285,1.4145918841159894e-69,2,np.random.exponential
50,7,colless_like_index,248.2970217338218,9.480601649823749e-51,2,np.random.standard_normal
50,7,mean_pairwise_distance,279.85718388278383,1.6856785307713092e-57,2,np.random.standard_normal
50,7,num_ancestors,289.6636326390724,1.3397888624653914e-59,2,np.random.standard_normal
50,7,mean_evolutionary_distinctiveness,339.39189841269854,2.9202295921897736e-70,2,np.random.standard_normal
50,7,colless_like_index,246.32398144078138,2.5026640715271667e-50,7,np.random.exponential
50,7,mean_pairwise_distance,239.36889670329674,7.656088623612794e-49,7,np.random.exponential
50,7,num_ancestors,288.92041525771566,1.9328934213268446e-59,7,np.random.exponential
50,7,mean_evolutionary_distinctiveness,338.9171340659341,3.692343047605072e-70,7,np.random.exponential
50,7,colless_like_index,263.5987184371186,5.0775260653086644e-54,7,np.random.standard_normal
50,7,mean_pairwise_distance,271.7057484737484,9.361542359908896e-56,7,np.random.standard_normal
50,7,num_ancestors,284.82636041381176,1.4551606370912438e-58,7,np.random.standard_normal
50,7,mean_evolutionary_distinctiveness,340.35205470085475,1.817025747699854e-70,7,np.random.standard_normal
