n,N,phylometric,statistic,p,epoch,mut_distn
50,4,colless_like_index,172.71356417910442,3.3023446905012562e-37,0,np.random.exponential
50,4,mean_pairwise_distance,167.92119402985077,3.576287470189254e-36,0,np.random.exponential
50,4,num_ancestors,169.6336549331269,1.5267005336152836e-36,0,np.random.exponential
50,4,mean_evolutionary_distinctiveness,186.56716417910445,3.3660619042710498e-40,0,np.random.exponential
50,4,colless_like_index,168.73007761194026,2.3923069182144284e-36,0,np.random.standard_normal
50,4,mean_pairwise_distance,169.3564656716419,1.7522406039343323e-36,0,np.random.standard_normal
50,4,num_ancestors,168.30833249828987,2.9502619435096186e-36,0,np.random.standard_normal
50,4,mean_evolutionary_distinctiveness,186.56716417910445,3.3660619042710498e-40,0,np.random.standard_normal
50,4,colless_like_index,167.4396298507462,4.5434571162024366e-36,2,np.random.exponential
50,4,mean_pairwise_distance,175.699247761194,7.484609832071976e-38,2,np.random.exponential
50,4,num_ancestors,168.20756041381162,3.101804514325217e-36,2,np.random.exponential
50,4,mean_evolutionary_distinctiveness,186.56716417910445,3.3660619042710498e-40,2,np.random.exponential
50,4,colless_like_index,173.64602985074634,2.0772845224899563e-37,2,np.random.standard_normal
50,4,mean_pairwise_distance,175.87354029850746,6.86333054269175e-38,2,np.random.standard_normal
50,4,num_ancestors,167.93683444765625,3.5485925408665664e-36,2,np.random.standard_normal
50,4,mean_evolutionary_distinctiveness,186.56716417910445,3.3660619042710498e-40,2,np.random.standard_normal
50,4,colless_like_index,103.02394029850757,3.4769664208602374e-22,7,np.random.exponential
50,4,mean_pairwise_distance,156.73204776119417,9.2967706561219e-34,7,np.random.exponential
50,4,num_ancestors,167.96214110739578,3.5042348218093254e-36,7,np.random.exponential
50,4,mean_evolutionary_distinctiveness,186.56716417910445,3.3660619042710498e-40,7,np.random.exponential
49,4,colless_like_index,107.5869831607016,3.6273145970841976e-23,7,np.random.standard_normal
49,4,mean_pairwise_distance,153.83084820018473,3.9292864202422756e-33,7,np.random.standard_normal
49,4,num_ancestors,167.63435182992515,4.1243215237304384e-36,7,np.random.standard_normal
49,4,mean_evolutionary_distinctiveness,185.6268844221106,5.372985788262643e-40,7,np.random.standard_normal
