quality,n,phylometric,statistic,p,epoch,mut_distn
1% resolution,350,colless_like_index,29613.0,0.5616207020084987,0,np.random.exponential
1% resolution,350,mean_pairwise_distance,29086.0,0.3905369990928218,0,np.random.exponential
1% resolution,350,num_ancestors,28503.0,0.24344612819932787,0,np.random.exponential
1% resolution,350,mean_evolutionary_distinctiveness,27663.0,0.10742877962073703,0,np.random.exponential
10% resolution,350,colless_like_index,21390.0,8.591357847411582e-07,0,np.random.exponential
10% resolution,350,mean_pairwise_distance,20294.0,3.797492968217514e-08,0,np.random.exponential
10% resolution,350,num_ancestors,30147.5,0.7654978008479402,0,np.random.exponential
10% resolution,350,mean_evolutionary_distinctiveness,27886.0,0.13566384473137047,0,np.random.exponential
3% resolution,350,colless_like_index,30294.0,0.8251470166377466,0,np.random.exponential
3% resolution,350,mean_pairwise_distance,30629.0,0.9648403177362156,0,np.random.exponential
3% resolution,350,num_ancestors,28022.5,0.15558528660240073,0,np.random.exponential
3% resolution,350,mean_evolutionary_distinctiveness,27901.0,0.1377516170973967,0,np.random.exponential
33% resolution,350,colless_like_index,775.0,2.907181421231473e-56,0,np.random.exponential
33% resolution,350,mean_pairwise_distance,1098.0,4.287408345721173e-55,0,np.random.exponential
33% resolution,350,num_ancestors,24065.0,0.0004493281257882118,0,np.random.exponential
33% resolution,350,mean_evolutionary_distinctiveness,28474.0,0.2373151518945904,0,np.random.exponential
1% resolution,350,colless_like_index,29635.0,0.5694770094995545,0,np.random.standard_normal
1% resolution,350,mean_pairwise_distance,30305.0,0.8296714999617492,0,np.random.standard_normal
1% resolution,350,num_ancestors,30659.0,0.9774682242479746,0,np.random.standard_normal
1% resolution,350,mean_evolutionary_distinctiveness,29337.0,0.46775370265240546,0,np.random.standard_normal
10% resolution,350,colless_like_index,19147.0,1.0245943097574945e-09,0,np.random.standard_normal
10% resolution,350,mean_pairwise_distance,17529.0,3.4102776001469677e-12,0,np.random.standard_normal
10% resolution,350,num_ancestors,29196.5,0.42353053581483935,0,np.random.standard_normal
10% resolution,350,mean_evolutionary_distinctiveness,29311.0,0.4593822748902636,0,np.random.standard_normal
3% resolution,350,colless_like_index,30691.0,0.9909441706831736,0,np.random.standard_normal
3% resolution,350,mean_pairwise_distance,29960.0,0.691182015160925,0,np.random.standard_normal
3% resolution,350,num_ancestors,30648.0,0.9728371559061965,0,np.random.standard_normal
3% resolution,350,mean_evolutionary_distinctiveness,29458.0,0.5078034617770653,0,np.random.standard_normal
33% resolution,350,colless_like_index,711.0,1.6998305116760305e-56,0,np.random.standard_normal
33% resolution,350,mean_pairwise_distance,38.0,5.619074389476478e-59,0,np.random.standard_normal
33% resolution,350,num_ancestors,25134.5,0.0032329117897467044,0,np.random.standard_normal
33% resolution,350,mean_evolutionary_distinctiveness,29645.0,0.5730653157052201,0,np.random.standard_normal
1% resolution,350,colless_like_index,30117.0,0.7532402022217034,2,np.random.exponential
1% resolution,350,mean_pairwise_distance,29518.0,0.5283104374876221,2,np.random.exponential
1% resolution,350,num_ancestors,25284.5,0.004163618984602677,2,np.random.exponential
1% resolution,350,mean_evolutionary_distinctiveness,30411.0,0.8735392321345455,2,np.random.exponential
10% resolution,350,colless_like_index,19217.0,1.2904819932737845e-09,2,np.random.exponential
10% resolution,350,mean_pairwise_distance,16545.0,7.480476180396059e-14,2,np.random.exponential
10% resolution,350,num_ancestors,26638.0,0.03869410057774315,2,np.random.exponential
10% resolution,350,mean_evolutionary_distinctiveness,30402.0,0.8697974827133759,2,np.random.exponential
3% resolution,350,colless_like_index,29479.0,0.5149330749553598,2,np.random.exponential
3% resolution,350,mean_pairwise_distance,28924.0,0.34508525013510805,2,np.random.exponential
3% resolution,350,num_ancestors,25095.0,0.003908049336704709,2,np.random.exponential
3% resolution,350,mean_evolutionary_distinctiveness,30407.0,0.8718758780347917,2,np.random.exponential
33% resolution,350,colless_like_index,1256.0,1.582381564434672e-54,2,np.random.exponential
33% resolution,350,mean_pairwise_distance,1070.0,3.399220272633385e-55,2,np.random.exponential
33% resolution,350,num_ancestors,26433.5,0.023888146780521802,2,np.random.exponential
33% resolution,350,mean_evolutionary_distinctiveness,30129.0,0.758055793819592,2,np.random.exponential
1% resolution,350,colless_like_index,30607.0,0.9555852646680701,2,np.random.standard_normal
1% resolution,350,mean_pairwise_distance,30701.0,0.9951561100739613,2,np.random.standard_normal
1% resolution,350,num_ancestors,28144.5,0.17520365777534896,2,np.random.standard_normal
1% resolution,350,mean_evolutionary_distinctiveness,30590.0,0.9484376671012527,2,np.random.standard_normal
10% resolution,350,colless_like_index,18723.0,2.461730392566436e-10,2,np.random.standard_normal
10% resolution,350,mean_pairwise_distance,16957.0,3.8239190026672736e-13,2,np.random.standard_normal
10% resolution,350,num_ancestors,29542.0,0.6620025668890483,2,np.random.standard_normal
