quality,n,phylometric,statistic,p,regime,epoch,mut_distn
33% resolution,50,colless_like_index,1.0,8.031090907046913e-10,4 niche ecology,0,np.random.exponential
10% resolution,50,colless_like_index,497.0,0.175008298276776,4 niche ecology,0,np.random.exponential
1% resolution,50,colless_like_index,559.0,0.44858127474384846,4 niche ecology,0,np.random.exponential
3% resolution,50,colless_like_index,602.0,0.73183063851359,4 niche ecology,0,np.random.exponential
33% resolution,50,mean_evolutionary_distinctiveness,514.0,0.23319070659441454,4 niche ecology,0,np.random.exponential
10% resolution,50,mean_evolutionary_distinctiveness,606.0,0.7610682552125038,4 niche ecology,0,np.random.exponential
1% resolution,50,mean_evolutionary_distinctiveness,631.0,0.9499685188719619,4 niche ecology,0,np.random.exponential
3% resolution,50,mean_evolutionary_distinctiveness,580.0,0.5788512112255246,4 niche ecology,0,np.random.exponential
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,4 niche ecology,0,np.random.exponential
10% resolution,50,mean_pairwise_distance,482.0,0.13333362095374612,4 niche ecology,0,np.random.exponential
1% resolution,50,mean_pairwise_distance,465.0,0.09587474145721818,4 niche ecology,0,np.random.exponential
3% resolution,50,mean_pairwise_distance,560.0,0.4543822927004746,4 niche ecology,0,np.random.exponential
33% resolution,50,num_ancestors,1.0,8.022043436003766e-10,4 niche ecology,0,np.random.exponential
10% resolution,50,num_ancestors,549.0,0.5276007435206894,4 niche ecology,0,np.random.exponential
1% resolution,50,num_ancestors,419.5,0.035329466063630535,4 niche ecology,0,np.random.exponential
3% resolution,50,num_ancestors,421.5,0.03705066432813253,4 niche ecology,0,np.random.exponential
10% resolution,50,colless_like_index,555.0,0.425802198406505,8 niche ecology,0,np.random.exponential
1% resolution,50,colless_like_index,243.0,0.00013997160351564034,8 niche ecology,0,np.random.exponential
33% resolution,50,colless_like_index,0.0,7.556929455863566e-10,8 niche ecology,0,np.random.exponential
3% resolution,50,colless_like_index,255.0,0.00022216596965950796,8 niche ecology,0,np.random.exponential
10% resolution,50,mean_evolutionary_distinctiveness,511.0,0.22203311073335785,8 niche ecology,0,np.random.exponential
1% resolution,50,mean_evolutionary_distinctiveness,632.0,0.9576577827172162,8 niche ecology,0,np.random.exponential
33% resolution,50,mean_evolutionary_distinctiveness,486.0,0.14361198867269973,8 niche ecology,0,np.random.exponential
3% resolution,50,mean_evolutionary_distinctiveness,563.0,0.4720366364421994,8 niche ecology,0,np.random.exponential
10% resolution,50,mean_pairwise_distance,155.0,3.197509144816302e-06,8 niche ecology,0,np.random.exponential
1% resolution,50,mean_pairwise_distance,49.0,1.3394511022385218e-08,8 niche ecology,0,np.random.exponential
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,8 niche ecology,0,np.random.exponential
3% resolution,50,mean_pairwise_distance,43.0,9.530799618618074e-09,8 niche ecology,0,np.random.exponential
10% resolution,50,num_ancestors,129.5,1.549900048455981e-06,8 niche ecology,0,np.random.exponential
1% resolution,50,num_ancestors,444.0,0.06174588192152493,8 niche ecology,0,np.random.exponential
33% resolution,50,num_ancestors,0.0,7.546683182364461e-10,8 niche ecology,0,np.random.exponential
3% resolution,50,num_ancestors,533.0,0.31305227065652785,8 niche ecology,0,np.random.exponential
33% resolution,50,colless_like_index,1.0,8.031090907046913e-10,plain,0,np.random.exponential
10% resolution,50,colless_like_index,467.0,0.09978764078953349,plain,0,np.random.exponential
3% resolution,50,colless_like_index,632.0,0.9576577827172162,plain,0,np.random.exponential
1% resolution,50,colless_like_index,619.0,0.8582630586832802,plain,0,np.random.exponential
33% resolution,50,mean_evolutionary_distinctiveness,556.0,0.4314327881730913,plain,0,np.random.exponential
10% resolution,50,mean_evolutionary_distinctiveness,634.0,0.973047420887899,plain,0,np.random.exponential
3% resolution,50,mean_evolutionary_distinctiveness,607.0,0.7684331661508539,plain,0,np.random.exponential
1% resolution,50,mean_evolutionary_distinctiveness,613.0,0.8130405737621077,plain,0,np.random.exponential
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,plain,0,np.random.exponential
10% resolution,50,mean_pairwise_distance,373.0,0.010670992924015925,plain,0,np.random.exponential
3% resolution,50,mean_pairwise_distance,603.0,0.7391055127705244,plain,0,np.random.exponential
1% resolution,50,mean_pairwise_distance,618.0,0.8506893529466235,plain,0,np.random.exponential
33% resolution,50,num_ancestors,0.0,7.551804758280675e-10,plain,0,np.random.exponential
10% resolution,50,num_ancestors,486.5,0.2978414119687687,plain,0,np.random.exponential
3% resolution,50,num_ancestors,333.0,0.0032860564900050104,plain,0,np.random.exponential
1% resolution,50,num_ancestors,362.0,0.007822579641242978,plain,0,np.random.exponential
3% resolution,50,colless_like_index,573.0,0.5335234365917243,weak 4 niche ecology,0,np.random.exponential
1% resolution,50,colless_like_index,636.0,0.9884471006904338,weak 4 niche ecology,0,np.random.exponential
10% resolution,50,colless_like_index,327.0,0.002723440735643718,weak 4 niche ecology,0,np.random.exponential
33% resolution,50,colless_like_index,0.0,7.556929455863566e-10,weak 4 niche ecology,0,np.random.exponential
3% resolution,50,mean_evolutionary_distinctiveness,612.0,0.805559457241567,weak 4 niche ecology,0,np.random.exponential
1% resolution,50,mean_evolutionary_distinctiveness,613.0,0.8130405737621077,weak 4 niche ecology,0,np.random.exponential
10% resolution,50,mean_evolutionary_distinctiveness,594.0,0.6745456337061272,weak 4 niche ecology,0,np.random.exponential
33% resolution,50,mean_evolutionary_distinctiveness,476.0,0.11899531368679402,weak 4 niche ecology,0,np.random.exponential
3% resolution,50,mean_pairwise_distance,553.0,0.4146705674113692,weak 4 niche ecology,0,np.random.exponential
1% resolution,50,mean_pairwise_distance,603.0,0.7391055127705244,weak 4 niche ecology,0,np.random.exponential
10% resolution,50,mean_pairwise_distance,200.0,2.4074094807268668e-05,weak 4 niche ecology,0,np.random.exponential
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,weak 4 niche ecology,0,np.random.exponential
3% resolution,50,num_ancestors,391.5,0.01755830073452464,weak 4 niche ecology,0,np.random.exponential
1% resolution,50,num_ancestors,410.5,0.0284268135082277,weak 4 niche ecology,0,np.random.exponential
10% resolution,50,num_ancestors,458.0,0.12430271841432114,weak 4 niche ecology,0,np.random.exponential
33% resolution,50,num_ancestors,0.0,7.541564726440781e-10,weak 4 niche ecology,0,np.random.exponential
3% resolution,50,colless_like_index,533.0,0.31308609275657884,4 niche ecology,0,np.random.standard_normal
10% resolution,50,colless_like_index,469.0,0.10382687040086713,4 niche ecology,0,np.random.standard_normal
1% resolution,50,colless_like_index,537.0,0.3319694831715281,4 niche ecology,0,np.random.standard_normal
33% resolution,50,colless_like_index,0.0,7.556929455863566e-10,4 niche ecology,0,np.random.standard_normal
3% resolution,50,mean_evolutionary_distinctiveness,598.0,0.7029773092534963,4 niche ecology,0,np.random.standard_normal
10% resolution,50,mean_evolutionary_distinctiveness,607.0,0.7684331661508539,4 niche ecology,0,np.random.standard_normal
1% resolution,50,mean_evolutionary_distinctiveness,634.0,0.973047420887899,4 niche ecology,0,np.random.standard_normal
33% resolution,50,mean_evolutionary_distinctiveness,562.0,0.4661102219910902,4 niche ecology,0,np.random.standard_normal
3% resolution,50,mean_pairwise_distance,404.0,0.02419361580033565,4 niche ecology,0,np.random.standard_normal
10% resolution,50,mean_pairwise_distance,514.0,0.23319070659441454,4 niche ecology,0,np.random.standard_normal
1% resolution,50,mean_pairwise_distance,382.0,0.013647399077956259,4 niche ecology,0,np.random.standard_normal
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,4 niche ecology,0,np.random.standard_normal
3% resolution,50,num_ancestors,382.5,0.013828551064263362,4 niche ecology,0,np.random.standard_normal
10% resolution,50,num_ancestors,521.0,0.26070841205429274,4 niche ecology,0,np.random.standard_normal
1% resolution,50,num_ancestors,315.0,0.003082270566507756,4 niche ecology,0,np.random.standard_normal
33% resolution,50,num_ancestors,0.0,7.548390027588035e-10,4 niche ecology,0,np.random.standard_normal
