id,ancestor_list,origin_time,destruction_time,taxon_label,ancestor_id
0,[None],0.0,384.5,Root,0
649,[0],17599.5,17728.5,Inner+r=17536+d=O+uid=qozALK3ETQyINZysVrZqd,0
762,[0],19647.5,19776.5,Inner+r=19584+d=Cr+uid=t7RA8_LhOLNFmo4q7ltyW,0
807,[649],20191.5,20256.5,Inner+r=20160+d=B+uid=peiHXa8eL9ZY4Dtb89_Sd,649
997,[649],21535.5,21600.5,Inner+r=21504+d=B4+uid=BBGSd6nntunbo23luwlsK0,649
1528,[762],24927.5,24992.5,Inner+r=24896+d=DZ+uid=CxTAayqqLYxfeQVKvCf35i,762
1736,[1528],26143.5,26208.5,Inner+r=26112+d=I+uid=BSfoUOr2vsHxkOmlAcruQO,1528
1825,[0],26479.5,26512.5,Inner+r=26464+d=CT+uid=u7_bW63gdoYLzHAhDF4qo,0
2203,[0],27407.5,27440.5,Inner+r=27392+d=CM+uid=C3L0DwT3HpxABNMFJfq9U9,0
2339,[0],27727.5,27760.5,Inner+r=27712+d=BO+uid=D3HTgm8A78FFSvG-CVV4Dr,0
2534,[2339],28143.5,28176.5,Inner+r=28128+d=U+uid=CozI1ujEzyWMtbIJ7N6Krs,2339
2738,[762],28559.5,28592.5,Inner+r=28544+d=C8+uid=C6ialwWRH61wPJs_Hhh9Ma,762
2788,[2738],28655.5,28688.5,Inner+r=28640+d=BX+uid=CvjXoG1tEqoMeEpKZ0g3Bb,2738
3032,[807],29103.5,29136.5,Inner+r=29088+d=CY+uid=BSRVCkZaJOijpFSPIbPBN7,807
3111,[997],29231.5,29264.5,Inner+r=29216+d=Cy+uid=BsH05GLELSkCke_ODrGGx_,997
3490,[3111],29703.5,29720.5,Inner+r=29696+d=BD+uid=DG6k4BRPzUJBclC8K4k9wz,3111
3894,[2788],30007.5,30024.5,Inner+r=30000+d=D9+uid=BcQ1ruuSwh60BNTbWvR5U1,2788
3934,[1736],30039.5,30056.5,Inner+r=30032+d=BS+uid=CLVxhHY72ZcovBk4lpJ6Zj,1736
3976,[3490],30071.5,30088.5,Inner+r=30064+d=E+uid=CfclRB7-4dRJx8irv8bUnP,3490
4372,[2339],30327.5,30344.5,Inner+r=30320+d=CX+uid=DLG8SebhM8bANr1uv-QYc9,2339
4470,[0],30391.5,30408.5,Inner+r=30384+d=Y+uid=5k7A_AT5avlc2ycJIizEm,0
4553,[1825],30439.5,30456.5,Inner+r=30432+d=Ch+uid=BppqiThbOkLmLfa3UT_ZTK,1825
4786,[3894],30583.5,30600.5,Inner+r=30576+d=Dt+uid=D4IjfvetgvdpMl2X75jy2R,3894
5499,[2203],30983.5,31000.5,Inner+r=30976+d=DU+uid=uUGQ96llKgADO7FbbVezF,2203
5614,[5499],31047.5,31064.5,Inner+r=31040+d=BC+uid=Bkhi-mvLapBHQVohc48swM,5499
5900,[4786],31187.5,31196.5,Inner+r=31184+d=D1+uid=BE4PElUxkXI0O_Y6DgQKnI,4786
5910,[4553],31187.5,31196.5,Inner+r=31184+d=Du+uid=CDQQrGQB5Z5JZ0yjItBugC,4553
7160,[2203],31499.5,31508.5,Inner+r=31496+d=Dd+uid=Cts3EkV0UdoWq9FipaV9Si,2203
7464,[997],31579.5,31588.5,Inner+r=31576+d=Ce+uid=D4JPXQJVlzcO9OHinpULdQ,997
7838,[7464],31667.5,31676.5,Inner+r=31664+d=CI+uid=3b1w6kctIwaQ-VQYdxAv4,7464
8029,[4470],31707.5,31716.5,Inner+r=31704+d=C-+uid=D6Ca9XbLc_jMkG_GaCls6q,4470
8233,[3934],31755.5,31764.5,Inner+r=31752+d=Cn+uid=C8ADzeZ412Sizys0RZJi35,3934
8650,[4470],31843.5,31852.5,Inner+r=31840+d=5+uid=aErEYA1m80zpwbbNcySM5,4470
8698,[1825],31851.5,31860.5,Inner+r=31848+d=Bs+uid=CKkfw98pAqFIseppQOABRq,1825
8745,[807],31867.5,31876.5,Inner+r=31864+d=2+uid=CgXBCsCZxd9yIZUbyeuw1n,807
8804,[8650],31875.5,31884.5,Inner+r=31872+d=DW+uid=3hoZxKm4ZZ8Ae4EudEkkJ,8650
9022,[7160],31915.5,31924.5,Inner+r=31912+d=p+uid=UuO5RYVOZMiedA-xPkbJF,7160
9080,[8233],31931.5,31940.5,Inner+r=31928+d=Bg+uid=mvoAM8lrKAHfMTuobW4tC,8233
9085,[3894],31931.5,31940.5,Inner+r=31928+d=Cl+uid=H31meP2i2I0LsTtUHitpK,3894
9098,[2534],31931.5,31940.5,Inner+r=31928+d=Dl+uid=BL9m7WkisgwgAobsn4WKeu,2534
10142,[7160],32041.5,32046.5,Inner+r=32040+d=Cp+uid=DmYdUOHOeSNjOHlqanAuqy,7160
10419,[5614],32065.5,32070.5,Inner+r=32064+d=W+uid=CzNfvT6eFHVQ8XvKK6DeWk,5614
10430,[3976],32069.5,32074.5,Inner+r=32068+d=CI+uid=2eKTE3-BqqtxX1l34-_IA,3976
10491,[5900],32073.5,32078.5,Inner+r=32072+d=Dx+uid=CKvzNWkC7d1Ev-Zru_j1vS,5900
10826,[3934],32101.5,32106.5,Inner+r=32100+d=k+uid=CufCet--CagscHEc_1jjQ,3934
11010,[3032],32117.5,32122.5,Inner+r=32116+d=BK+uid=Cv3EfEqriaFkuYSNlFDreq,3032
11276,[3111],32137.5,32142.5,Inner+r=32136+d=By+uid=DHOrCFnB6I4Vg9xN9fWZxp,3111
11687,[3976],32169.5,32174.5,Inner+r=32168+d=D7+uid=cpiE9cF5eyolZI8DsZ21v,3976
