id,ancestor_list,origin_time,destruction_time,taxon_label,ancestor_id
0,[None],0.0,10240.5,Root,0
13,[0],18431.5,21504.5,Inner+r=16384+d=DD+uid=DksGzmB0HHqHzkLIIYBy6M,0
14,[0],18431.5,21504.5,Inner+r=16384+d=J+uid=DHA4BphMgZmSEWfY_PI8ro,0
21,[13],21503.5,23552.5,Inner+r=20480+d=f+uid=BjpSLjXs9hXTMxgkcoMz4O,13
42,[14],25599.5,27136.5,Inner+r=24576+d=CN+uid=Dw5kL0MyitCI3tPJaR63n6,14
46,[0],25599.5,27136.5,Inner+r=24576+d=_+uid=DZEN3XYhX2eeOKWapRz6FO,0
60,[0],27135.5,28160.5,Inner+r=26624+d=Be+uid=BB8rLzhU9jnSrImdczgdjv,0
68,[14],28159.5,29184.5,Inner+r=27648+d=S+uid=JlJQOgkWMyJ96fa-0OtxP,14
70,[0],28159.5,29184.5,Inner+r=27648+d=C+uid=9sYoo7J9vv9nZMg5x7156,0
75,[13],29183.5,29952.5,Inner+r=28672+d=Cs+uid=CW0E_ipoCHqZIp90Gg565,13
78,[21],29183.5,29952.5,Inner+r=28672+d=Dv+uid=CyjYqs0dhoQXlSbIbNVZJP,21
97,[78],29951.5,30464.5,Inner+r=29696+d=V+uid=CfLcYtzuvVwu1y8BE-w6--,78
99,[42],29951.5,30464.5,Inner+r=29696+d=B1+uid=CZkBwEdUkbw1TFbJqcya9O,42
102,[68],29951.5,30464.5,Inner+r=29696+d=k+uid=DlhVUvrJVKtZLJNX00rM14,68
126,[102],30463.5,30976.5,Inner+r=30208+d=Be+uid=CZ0Candiorpexd8sf8rTiI,102
129,[0],30463.5,30976.5,Inner+r=30208+d=BP+uid=BuH7atzumk_XJamlv2oHUA,0
130,[70],30463.5,30976.5,Inner+r=30208+d=Dj+uid=BwKTgVU1HSwej7RrUqLVUf,70
133,[46],30463.5,30976.5,Inner+r=30208+d=T+uid=CK5jqxqjERVuBVrxwlKmbY,46
151,[126],30975.5,31360.5,Inner+r=30720+d=K+uid=COZeTP0KQQ2v8R3JG2o86S,126
161,[133],30975.5,31360.5,Inner+r=30720+d=BG+uid=DK_f1-vG9iN7RmEg2iQJmO,133
164,[60],30975.5,31360.5,Inner+r=30720+d=C0+uid=BNFJNUZM4od-8T5pWJJ7J9,60
200,[21],31615.5,31872.5,Inner+r=31488+d=DQ+uid=BHlKuR-rq3tXOqEQcRn-af,21
216,[129],31615.5,31872.5,Inner+r=31488+d=CN+uid=DNRtqYTmXrgP5Oo8b8J3rD,129
225,[60],31615.5,31872.5,Inner+r=31488+d=CB+uid=BYzQkbqEOoI7qyQZP9LPGj,60
231,[13],31871.5,32064.5,Inner+r=31744+d=CY+uid=BkKjV8cykC9FH7_MeYuNqf,13
239,[99],31871.5,32064.5,Inner+r=31744+d=B+uid=DxjdHu13yWwAhPPdZBWvNB,99
243,[102],31871.5,32064.5,Inner+r=31744+d=7+uid=oLuC8BKG95EgGqoHmUVC1,102
249,[129],31871.5,32064.5,Inner+r=31744+d=DK+uid=DLBnGMBj-itnxcSD1CCkMj,129
254,[70],31871.5,32064.5,Inner+r=31744+d=DR+uid=By5xkxwYkyjUCsgSWedVIv,70
259,[46],31871.5,32064.5,Inner+r=31744+d=BN+uid=Hvym1Drny76rT_PTJQ76T,46
260,[225],31871.5,32064.5,Inner+r=31744+d=B6+uid=C1c_Ya9_vCIeKZ117tAhId,225
265,[75],32063.5,32192.5,Inner+r=32000+d=DT+uid=BqisS6BYBZde0vidlKLyCq,75
273,[97],32063.5,32192.5,Inner+r=32000+d=Bj+uid=wAbkULnbdbJglW7Qx-1b6,97
279,[99],32063.5,32192.5,Inner+r=32000+d=Di+uid=BIcWFUcmsUClmTO7YbPPWa,99
286,[151],32063.5,32192.5,Inner+r=32000+d=Cg+uid=BxHdnUFpc7ddnwUBJNuKJr,151
306,[225],32063.5,32192.5,Inner+r=32000+d=Cq+uid=BElj_zZPYs3k0h6TelZ0Ps,225
307,[164],32063.5,32192.5,Inner+r=32000+d=q+uid=BGRTsWb0K_9uWw_LI3C8L_,164
318,[97],32191.5,32320.5,Inner+r=32128+d=k+uid=BqOTLrb1PQs53wltAOQDTQ,97
321,[97],32191.5,32320.5,Inner+r=32128+d=g+uid=CT0BNBZKOfYHQHRVsrnqjy,97
322,[78],32191.5,32320.5,Inner+r=32128+d=D0+uid=Ck4IgK9l8o7gb3A1U7idhM,78
330,[243],32191.5,32320.5,Inner+r=32128+d=CE+uid=imL2xyF8NRpA3Fcj8r0pa,243
331,[243],32191.5,32320.5,Inner+r=32128+d=Cq+uid=CXqo1EfzgiobFqvpA8Ki8h,243
332,[126],32191.5,32320.5,Inner+r=32128+d=DA+uid=D4ZmjBbQXIGJRQCFtjoCml,126
336,[68],32191.5,32320.5,Inner+r=32128+d=Bf+uid=DoXHSyH0xZZrRPOtcRY5fU,68
347,[70],32191.5,32320.5,Inner+r=32128+d=B-+uid=Cy4jEg1bIMy14ntupbmZzn,70
349,[161],32191.5,32320.5,Inner+r=32128+d=DO+uid=TeH4TPTjzjqmTQ7ZXrHjQ,161
351,[259],32191.5,32320.5,Inner+r=32128+d=BX+uid=CYzrSFl0whTyMwOxuusoQd,259
359,[164],32191.5,32320.5,Inner+r=32128+d=Dw+uid=DIyS2hT6iSOyG1jwVfWeNX,164
361,[265],32319.5,32416.5,Inner+r=32256+d=Bi+uid=ChHUWaL5eNhxmZnj-kbWdT,265
363,[75],32319.5,32416.5,Inner+r=32256+d=DF+uid=xucEfR1CYli7wNUwGKgaY,75
364,[231],32319.5,32416.5,Inner+r=32256+d=E+uid=BABB4AHII9nnSzG_v4RJVg,231
366,[200],32319.5,32416.5,Inner+r=32256+d=Bm+uid=OXJvrzSZuqJQ3NdTsGyck,200
370,[318],32319.5,32416.5,Inner+r=32256+d=Di+uid=1Hg_HUBREo6QmhuQ6T3nF,318
378,[239],32319.5,32416.5,Inner+r=32256+d=Dn+uid=c1S-yykGlI2aVppw3TCLS,239
379,[239],32319.5,32416.5,Inner+r=32256+d=C8+uid=DQ_QNGidRjtHRFVssBM0BR,239
390,[151],32319.5,32416.5,Inner+r=32256+d=X+uid=CpLNLe2ALLCD6FsKm06agG,151
392,[286],32319.5,32416.5,Inner+r=32256+d=r+uid=_WxaB2HrKBe25vuv723MU,286
396,[249],32319.5,32416.5,Inner+r=32256+d=v+uid=CX8qcCI2aWdpR_gUNa3ZLR,249
397,[249],32319.5,32416.5,Inner+r=32256+d=CG+uid=KyBpFk2ZX3NZ5VEZc_1f,249
398,[249],32319.5,32416.5,Inner+r=32256+d=DF+uid=JJGnKL0eaN04PfnCTfglY,249
399,[216],32319.5,32416.5,Inner+r=32256+d=Bp+uid=CC9VDw_B-knUl0A03rY-sG,216
401,[130],32319.5,32416.5,Inner+r=32256+d=Dw+uid=H4w8RBWKHSJQ-wlpwU26b,130
408,[349],32319.5,32416.5,Inner+r=32256+d=1+uid=COz6_j73hMj4lOyw3GZ7Co,349
411,[161],32319.5,32416.5,Inner+r=32256+d=c+uid=P0uyarGFzGP_HbYygruMv,161
417,[306],32319.5,32416.5,Inner+r=32256+d=CY+uid=DymUFNjVxk1wyQx7zvRLWW,306
419,[307],32319.5,32416.5,Inner+r=32256+d=C0+uid=BDAbZmh7ertvHgngZFW_SW,307
431,[231],32415.5,32480.5,Inner+r=32384+d=CL+uid=Cdp_3yZ1u0sxOPzCN8sQAo,231
439,[273],32415.5,32480.5,Inner+r=32384+d=9+uid=B8wlGqBe58OV0M2eR5WXKo,273
445,[239],32415.5,32480.5,Inner+r=32384+d=CI+uid=vQpzln_MHj8wbDD4cB3JO,239
463,[392],32415.5,32480.5,Inner+r=32384+d=D0+uid=CM3Blk3v4nc6TjmRyOkigN,392
470,[397],32415.5,32480.5,Inner+r=32384+d=C3+uid=C9_JarDC3NwamprxDfB6MD,397
473,[398],32415.5,32480.5,Inner+r=32384+d=G+uid=DpMa76IRcYZKQ85lYynFKb,398
476,[216],32415.5,32480.5,Inner+r=32384+d=Dz+uid=Czaydq-ltEI_PusEE-A8cJ,216
481,[254],32415.5,32480.5,Inner+r=32384+d=Bc+uid=B7JVqm9oxe-Th2Cgxoy1HO,254
484,[133],32415.5,32480.5,Inner+r=32384+d=C_+uid=BHfkqAvp8KYyFcHAujNA2W,133
491,[351],32415.5,32480.5,Inner+r=32384+d=BF+uid=DZlFOaPcB7u-1uRyUS_KTt,351
495,[260],32415.5,32480.5,Inner+r=32384+d=Dp+uid=Bt7N6NNdNbtDJ73EWtqAsx,260
510,[364],32479.5,32544.5,Inner+r=32448+d=BS+uid=DeG_DNivxb7uQmTJ_63jEt,364
511,[364],32479.5,32544.5,Inner+r=32448+d=DV+uid=l9GNWakourSUKv25awEyk,364
514,[366],32479.5,32544.5,Inner+r=32448+d=Cs+uid=BAfbuU_hRRcdpkuHCTWsjZ,366
528,[445],32479.5,32544.5,Inner+r=32448+d=C+uid=q31WaEcvCiEpQEtxYLBjJ,445
536,[42],32479.5,32544.5,Inner+r=32448+d=Dx+uid=B_GILaLYMRaB2uUACTL2XC,42
540,[331],32479.5,32544.5,Inner+r=32448+d=Bh+uid=1g52iJIyR3_7tfX-Ql23u,331
546,[286],32479.5,32544.5,Inner+r=32448+d=1+uid=DO5n6e-EiCElZSwiGRPRxo,286
558,[398],32479.5,32544.5,Inner+r=32448+d=C-+uid=DkDy6BQRPXQeZyy2LCzR6d,398
577,[349],32479.5,32544.5,Inner+r=32448+d=D+uid=Bl1kQHqJ-nefk2btGCjSP2,349
579,[411],32479.5,32544.5,Inner+r=32448+d=Be+uid=DGVMZCl76HfUkj1LAn97Qj,411
585,[260],32479.5,32544.5,Inner+r=32448+d=u+uid=BBne-CIVTjVCX5ZylpYXBi,260
591,[419],32479.5,32544.5,Inner+r=32448+d=BK+uid=RruKXX5w7W76yzKkaj5c-,419
593,[307],32479.5,32544.5,Inner+r=32448+d=Ds+uid=CkH8SoueS3WI0Did1ITUNW,307
598,[361],32543.5,32592.5,Inner+r=32512+d=BI+uid=IPtAbLTbrSm0i_J5TNfuu,361
601,[363],32543.5,32592.5,Inner+r=32512+d=W+uid=DmAyT-lfaLTb71yFKOg6Eq,363
606,[431],32543.5,32592.5,Inner+r=32512+d=z+uid=BaEUlPCkU-jGzz7uqVqDA7,431
608,[514],32543.5,32592.5,Inner+r=32512+d=Bg+uid=CS44ASs_JRPT7QPEnIsNoo,514
616,[439],32543.5,32592.5,Inner+r=32512+d=Db+uid=CeqQAFqh-EUpP1cGigKSmt,439
620,[321],32543.5,32592.5,Inner+r=32512+d=D8+uid=Cm1nvGZ3DIR7zpeeyG23iW,321
621,[322],32543.5,32592.5,Inner+r=32512+d=P+uid=DtWQN0a6G7K2DFoxZLM0zM,322
626,[445],32543.5,32592.5,Inner+r=32512+d=3+uid=DObPZRHcfmTp38uk4OOD7q,445
643,[390],32543.5,32592.5,Inner+r=32512+d=Dy+uid=_mODuwvfCP-7hM-puiDEQ,390
646,[546],32543.5,32592.5,Inner+r=32512+d=C+uid=CdcjTqxHQJPYYjyl-W47tx,546
647,[463],32543.5,32592.5,Inner+r=32512+d=_+uid=C7XtX4sdssTJx3djcji6g-,463
654,[396],32543.5,32592.5,Inner+r=32512+d=Cy+uid=BaF2quR5sq0os1jywCBomc,396
655,[470],32543.5,32592.5,Inner+r=32512+d=B7+uid=DCHoRO8lzUap9GhcPuuxRk,470
656,[470],32543.5,32592.5,Inner+r=32512+d=t+uid=BIQvcSlbv7iSMgtk0ZaM5s,470
663,[399],32543.5,32592.5,Inner+r=32512+d=Q+uid=DAe4dazOkjZtTSISZUT5wg,399
669,[254],32543.5,32592.5,Inner+r=32512+d=BB+uid=C6B48OALMgwEwOKc6A1rgS,254
