quality,n,phylometric,statistic,p,regime,epoch,mut_distn
10% resolution,30,colless_like_index,127.0,0.03000989131308078,ecology,0,default
33% resolution,30,colless_like_index,35.0,4.8602606066772885e-05,ecology,0,default
3% resolution,30,colless_like_index,139.0,0.05446250397189108,ecology,0,default
1% resolution,30,colless_like_index,141.0,0.05983560139134924,ecology,0,default
10% resolution,30,mean_evolutionary_distinctiveness,67.0,0.0006639212842644785,ecology,0,default
33% resolution,30,mean_evolutionary_distinctiveness,39.0,6.892290296834955e-05,ecology,0,default
3% resolution,30,mean_evolutionary_distinctiveness,50.0,0.0001742281335965429,ecology,0,default
1% resolution,30,mean_evolutionary_distinctiveness,63.0,0.000489690070533264,ecology,0,default
10% resolution,30,mean_pairwise_distance,102.0,0.007271049691046206,ecology,0,default
33% resolution,30,mean_pairwise_distance,0.0,1.7343976283205784e-06,ecology,0,default
3% resolution,30,mean_pairwise_distance,127.0,0.03000989131308078,ecology,0,default
1% resolution,30,mean_pairwise_distance,149.0,0.0858958258699641,ecology,0,default
10% resolution,30,sum_distance,222.0,0.8290130316946699,ecology,0,default
33% resolution,30,sum_distance,217.0,0.7498711559507313,ecology,0,default
3% resolution,30,sum_distance,230.0,0.958990172136891,ecology,0,default
1% resolution,30,sum_distance,232.0,0.9917945644340904,ecology,0,default
3% resolution,30,colless_like_index,125.0,0.02702915661831454,"ecology, spatial",0,default
1% resolution,30,colless_like_index,139.5,0.05576006941628535,"ecology, spatial",0,default
33% resolution,30,colless_like_index,46.0,0.00012505680433316804,"ecology, spatial",0,default
10% resolution,30,colless_like_index,121.0,0.02182672159602272,"ecology, spatial",0,default
3% resolution,30,mean_evolutionary_distinctiveness,97.0,0.005319684023981225,"ecology, spatial",0,default
1% resolution,30,mean_evolutionary_distinctiveness,85.0,0.0024147041360347552,"ecology, spatial",0,default
33% resolution,30,mean_evolutionary_distinctiveness,80.0,0.0017087731951465322,"ecology, spatial",0,default
10% resolution,30,mean_evolutionary_distinctiveness,79.0,0.0015927015020870082,"ecology, spatial",0,default
3% resolution,30,mean_pairwise_distance,181.0,0.2894770717054542,"ecology, spatial",0,default
1% resolution,30,mean_pairwise_distance,205.0,0.5716457836721114,"ecology, spatial",0,default
33% resolution,30,mean_pairwise_distance,40.0,7.513662254944795e-05,"ecology, spatial",0,default
10% resolution,30,mean_pairwise_distance,157.0,0.12044472790832522,"ecology, spatial",0,default
3% resolution,30,sum_distance,222.0,0.8290130316946699,"ecology, spatial",0,default
1% resolution,30,sum_distance,231.0,0.9753871641763363,"ecology, spatial",0,default
33% resolution,30,sum_distance,218.0,0.7655192919016102,"ecology, spatial",0,default
10% resolution,30,sum_distance,216.0,0.7343252914391281,"ecology, spatial",0,default
1% resolution,30,colless_like_index,147.0,0.07864666027410346,plain,0,default
33% resolution,30,colless_like_index,62.0,0.00045335631776461847,plain,0,default
10% resolution,30,colless_like_index,119.0,0.019569215233846395,plain,0,default
3% resolution,30,colless_like_index,172.0,0.21335807338945145,plain,0,default
1% resolution,30,mean_evolutionary_distinctiveness,138.0,0.051930665029697155,plain,0,default
33% resolution,30,mean_evolutionary_distinctiveness,151.0,0.09367559653193051,plain,0,default
10% resolution,30,mean_evolutionary_distinctiveness,119.0,0.019569215233846395,plain,0,default
3% resolution,30,mean_evolutionary_distinctiveness,142.0,0.06268281249957977,plain,0,default
1% resolution,30,mean_pairwise_distance,141.0,0.05983560139134924,plain,0,default
33% resolution,30,mean_pairwise_distance,11.0,5.216493447033368e-06,plain,0,default
10% resolution,30,mean_pairwise_distance,73.0,0.0010356813035458734,plain,0,default
3% resolution,30,mean_pairwise_distance,165.0,0.1650265656246961,plain,0,default
1% resolution,30,sum_distance,223.0,0.8450804241615161,plain,0,default
33% resolution,30,sum_distance,223.0,0.8450804241615161,plain,0,default
10% resolution,30,sum_distance,224.0,0.8612125197358381,plain,0,default
3% resolution,30,sum_distance,225.0,0.8774027283940786,plain,0,default
10% resolution,30,colless_like_index,96.0,0.004991554012370142,rich ecology,0,default
33% resolution,30,colless_like_index,68.0,0.000715703384624892,rich ecology,0,default
3% resolution,30,colless_like_index,131.0,0.0368261284160903,rich ecology,0,default
1% resolution,30,colless_like_index,125.0,0.02702915661831454,rich ecology,0,default
