regime1,regime2,n,phylometric,statistic,p,epoch,mut_distn
plain,ecology,30,colless_like_index,154.0,0.10639417319061394,0,default
plain,ecology,30,mean_pairwise_distance,214.0,0.7035636998700077,0,default
plain,ecology,30,sum_distance,194.0,0.4284300285458069,0,default
plain,ecology,30,mean_evolutionary_distinctiveness,162.0,0.1470395786434527,0,default
plain,weak ecology,30,colless_like_index,226.0,0.8936443871266052,0,default
plain,weak ecology,30,mean_pairwise_distance,133.0,0.040702311426277726,0,default
plain,weak ecology,30,sum_distance,181.0,0.2894770717054542,0,default
plain,weak ecology,30,mean_evolutionary_distinctiveness,184.0,0.3184906025782175,0,default
rich ecology,ecology,30,colless_like_index,119.0,0.019569215233846395,0,default
rich ecology,ecology,30,mean_pairwise_distance,57.0,0.00030649986921763576,0,default
rich ecology,ecology,30,sum_distance,13.0,6.339135573122464e-06,0,default
rich ecology,ecology,30,mean_evolutionary_distinctiveness,17.0,9.315658591105142e-06,0,default
rich ecology,plain,30,colless_like_index,88.0,0.002957462130717483,0,default
rich ecology,plain,30,mean_pairwise_distance,63.0,0.000489690070533264,0,default
rich ecology,plain,30,sum_distance,5.0,2.878599219394298e-06,0,default
rich ecology,plain,30,mean_evolutionary_distinctiveness,3.0,2.3534209951215346e-06,0,default
rich ecology,weak ecology,30,colless_like_index,106.0,0.0092710251720259,0,default
rich ecology,weak ecology,30,mean_pairwise_distance,140.0,0.05709649524315731,0,default
rich ecology,weak ecology,30,sum_distance,12.0,5.751653269401829e-06,0,default
rich ecology,weak ecology,30,mean_evolutionary_distinctiveness,8.0,3.882182386060857e-06,0,default
weak ecology,ecology,30,colless_like_index,167.0,0.17790738330384115,0,default
weak ecology,ecology,30,mean_pairwise_distance,101.0,0.006835856425301226,0,default
weak ecology,ecology,30,sum_distance,141.0,0.05983560139134924,0,default
weak ecology,ecology,30,mean_evolutionary_distinctiveness,120.0,0.02067111356691231,0,default
