quality,n,phylometric,statistic,p,regime,epoch,mut_distn
10% resolution,30,colless_like_index,186.0,0.33885615524718515,ecology,0,default
33% resolution,30,colless_like_index,15.0,7.690859302848515e-06,ecology,0,default
3% resolution,30,colless_like_index,221.0,0.8130168513045055,ecology,0,default
1% resolution,30,colless_like_index,224.0,0.8612125197358381,ecology,0,default
10% resolution,30,mean_evolutionary_distinctiveness,99.0,0.006035006473812041,ecology,0,default
33% resolution,30,mean_evolutionary_distinctiveness,67.0,0.0006639212842644785,ecology,0,default
3% resolution,30,mean_evolutionary_distinctiveness,90.0,0.003378854437718857,ecology,0,default
1% resolution,30,mean_evolutionary_distinctiveness,90.0,0.003378854437718857,ecology,0,default
10% resolution,30,mean_pairwise_distance,134.0,0.0427666880169531,ecology,0,default
33% resolution,30,mean_pairwise_distance,0.0,1.7343976283205784e-06,ecology,0,default
3% resolution,30,mean_pairwise_distance,217.0,0.7498711559507313,ecology,0,default
1% resolution,30,mean_pairwise_distance,197.0,0.46528258187908456,ecology,0,default
10% resolution,30,sum_distance,222.0,0.8290130316946699,ecology,0,default
33% resolution,30,sum_distance,217.0,0.7498711559507313,ecology,0,default
3% resolution,30,sum_distance,230.0,0.958990172136891,ecology,0,default
1% resolution,30,sum_distance,232.0,0.9917945644340904,ecology,0,default
3% resolution,30,colless_like_index,228.0,0.9262550873076122,"ecology, spatial",0,default
1% resolution,30,colless_like_index,228.0,0.9262550873076122,"ecology, spatial",0,default
33% resolution,30,colless_like_index,5.0,2.878599219394298e-06,"ecology, spatial",0,default
10% resolution,30,colless_like_index,175.0,0.2369361866168309,"ecology, spatial",0,default
3% resolution,30,mean_evolutionary_distinctiveness,130.0,0.03500895681985013,"ecology, spatial",0,default
1% resolution,30,mean_evolutionary_distinctiveness,108.0,0.010444400581851145,"ecology, spatial",0,default
33% resolution,30,mean_evolutionary_distinctiveness,122.0,0.023038144695472357,"ecology, spatial",0,default
10% resolution,30,mean_evolutionary_distinctiveness,113.0,0.013974564120258317,"ecology, spatial",0,default
3% resolution,30,mean_pairwise_distance,187.0,0.34934556237492975,"ecology, spatial",0,default
1% resolution,30,mean_pairwise_distance,176.0,0.24519030932096386,"ecology, spatial",0,default
33% resolution,30,mean_pairwise_distance,0.0,1.7343976283205784e-06,"ecology, spatial",0,default
10% resolution,30,mean_pairwise_distance,147.0,0.07864666027410346,"ecology, spatial",0,default
3% resolution,30,sum_distance,222.0,0.8290130316946699,"ecology, spatial",0,default
1% resolution,30,sum_distance,231.0,0.9753871641763363,"ecology, spatial",0,default
33% resolution,30,sum_distance,218.0,0.7655192919016102,"ecology, spatial",0,default
10% resolution,30,sum_distance,216.0,0.7343252914391281,"ecology, spatial",0,default
1% resolution,30,colless_like_index,230.0,0.958990172136891,plain,0,default
33% resolution,30,colless_like_index,19.0,1.126539849982107e-05,plain,0,default
10% resolution,30,colless_like_index,132.0,0.038723026479358956,plain,0,default
3% resolution,30,colless_like_index,217.0,0.7498711559507313,plain,0,default
1% resolution,30,mean_evolutionary_distinctiveness,164.0,0.1588554992851956,plain,0,default
33% resolution,30,mean_evolutionary_distinctiveness,171.0,0.20588822305607402,plain,0,default
10% resolution,30,mean_evolutionary_distinctiveness,149.0,0.0858958258699641,plain,0,default
