regime1,regime2,n,phylometric,statistic,p,epoch,mut_distn
ecology,weak selection,30,colless-like index,102.0,0.007271049691046206,0,default
ecology,weak selection,30,mean pairwise distance,205.0,0.5716457836721114,0,default
ecology,weak selection,30,sum pairwise distance,145.0,0.07190333008390941,0,default
ecology,weak selection,30,mean evolutionary distinctiveness,114.0,0.014795424247745142,0,default
"ecology, spatial",ecology,30,colless-like index,33.0,4.0715116266282543e-05,0,default
"ecology, spatial",ecology,30,mean pairwise distance,12.0,5.751653269401829e-06,0,default
"ecology, spatial",ecology,30,sum pairwise distance,14.0,6.983783147477089e-06,0,default
"ecology, spatial",ecology,30,mean evolutionary distinctiveness,6.0,3.181679410969855e-06,0,default
"ecology, spatial",weak ecology,30,colless-like index,16.0,8.466081690383873e-06,0,default
"ecology, spatial",weak ecology,30,mean pairwise distance,35.0,4.8602606066772885e-05,0,default
"ecology, spatial",weak ecology,30,sum pairwise distance,28.0,2.5967125848447383e-05,0,default
"ecology, spatial",weak ecology,30,mean evolutionary distinctiveness,20.0,1.2380795614564472e-05,0,default
"ecology, spatial","weak ecology, spatial",30,colless-like index,223.0,0.8450804241615161,0,default
"ecology, spatial","weak ecology, spatial",30,mean pairwise distance,204.0,0.5577426862039239,0,default
"ecology, spatial","weak ecology, spatial",30,sum pairwise distance,117.0,0.017518393579685057,0,default
"ecology, spatial","weak ecology, spatial",30,mean evolutionary distinctiveness,99.0,0.006035006473812041,0,default
"ecology, spatial",weak selection,30,colless-like index,20.0,1.2380795614564472e-05,0,default
"ecology, spatial",weak selection,30,mean pairwise distance,5.0,2.878599219394298e-06,0,default
"ecology, spatial",weak selection,30,sum pairwise distance,6.0,3.181679410969855e-06,0,default
"ecology, spatial",weak selection,30,mean evolutionary distinctiveness,3.0,2.3534209951215346e-06,0,default
plain,ecology,30,colless-like index,188.0,0.3600388294588497,0,default
plain,ecology,30,mean pairwise distance,175.0,0.2369361866168309,0,default
plain,ecology,30,sum pairwise distance,73.0,0.0010356813035458734,0,default
plain,ecology,30,mean evolutionary distinctiveness,63.0,0.000489690070533264,0,default
