regime1,regime2,n,phylometric,statistic,p,epoch,mut_distn
ecology,weak selection,30,colless-like index,228.0,0.9262550873076122,0,default
ecology,weak selection,30,mean pairwise distance,110.0,0.011748106348302898,0,default
ecology,weak selection,30,sum pairwise distance,145.0,0.07190333008390941,0,default
ecology,weak selection,30,mean evolutionary distinctiveness,128.0,0.03160338164205514,0,default
"ecology, spatial",ecology,30,colless-like index,227.0,0.9099307681587345,0,default
"ecology, spatial",ecology,30,mean pairwise distance,113.0,0.013974564120258317,0,default
"ecology, spatial",ecology,30,sum pairwise distance,14.0,6.983783147477089e-06,0,default
"ecology, spatial",ecology,30,mean evolutionary distinctiveness,7.0,3.5152372790448263e-06,0,default
"ecology, spatial",weak ecology,30,colless-like index,231.0,0.9753871641763363,0,default
"ecology, spatial",weak ecology,30,mean pairwise distance,61.0,0.00041955098606127764,0,default
"ecology, spatial",weak ecology,30,sum pairwise distance,28.0,2.5967125848447383e-05,0,default
"ecology, spatial",weak ecology,30,mean evolutionary distinctiveness,20.0,1.2380795614564472e-05,0,default
"ecology, spatial","weak ecology, spatial",30,colless-like index,151.0,0.09367559653193051,0,default
"ecology, spatial","weak ecology, spatial",30,mean pairwise distance,107.0,0.009842142401693147,0,default
"ecology, spatial","weak ecology, spatial",30,sum pairwise distance,117.0,0.017518393579685057,0,default
"ecology, spatial","weak ecology, spatial",30,mean evolutionary distinctiveness,113.0,0.013974564120258317,0,default
"ecology, spatial",weak selection,30,colless-like index,216.0,0.7343252914391281,0,default
"ecology, spatial",weak selection,30,mean pairwise distance,39.0,6.892290296834955e-05,0,default
"ecology, spatial",weak selection,30,sum pairwise distance,6.0,3.181679410969855e-06,0,default
"ecology, spatial",weak selection,30,mean evolutionary distinctiveness,1.0,1.9209211049031396e-06,0,default
plain,ecology,30,colless-like index,145.0,0.07190333008390941,0,default
plain,ecology,30,mean pairwise distance,94.0,0.004389618289039615,0,default
plain,ecology,30,sum pairwise distance,73.0,0.0010356813035458734,0,default
plain,ecology,30,mean evolutionary distinctiveness,74.0,0.0011138009078172067,0,default
plain,"ecology, spatial",30,colless-like index,152.0,0.0977721901049929,0,default
plain,"ecology, spatial",30,mean pairwise distance,43.0,9.711048976071607e-05,0,default
plain,"ecology, spatial",30,sum pairwise distance,8.0,3.882182386060857e-06,0,default
plain,"ecology, spatial",30,mean evolutionary distinctiveness,3.0,2.3534209951215346e-06,0,default
plain,weak ecology,30,colless-like index,177.0,0.25364409754600126,0,default
plain,weak ecology,30,mean pairwise distance,220.0,0.7970983030067952,0,default
plain,weak ecology,30,sum pairwise distance,174.0,0.2288804222849652,0,default
plain,weak ecology,30,mean evolutionary distinctiveness,165.0,0.1650265656246961,0,default
plain,"weak ecology, spatial",30,colless-like index,209.0,0.6288430020541073,0,default
plain,"weak ecology, spatial",30,mean pairwise distance,189.0,0.37093530784512463,0,default
plain,"weak ecology, spatial",30,sum pairwise distance,95.0,0.004681835234144671,0,default
plain,"weak ecology, spatial",30,mean evolutionary distinctiveness,52.0,0.0002051529226187778,0,default
plain,weak selection,30,colless-like index,214.0,0.7035636998700077,0,default
plain,weak selection,30,mean pairwise distance,223.0,0.8450804241615161,0,default
plain,weak selection,30,sum pairwise distance,171.0,0.20588822305607402,0,default
plain,weak selection,30,mean evolutionary distinctiveness,152.0,0.0977721901049929,0,default
rich ecology,ecology,30,colless-like index,165.0,0.1650265656246961,0,default
rich ecology,ecology,30,mean pairwise distance,197.0,0.46528258187908456,0,default
rich ecology,ecology,30,sum pairwise distance,1.0,1.9209211049031396e-06,0,default
rich ecology,ecology,30,mean evolutionary distinctiveness,0.0,1.7343976283205784e-06,0,default
rich ecology,"ecology, spatial",30,colless-like index,177.0,0.25364409754600126,0,default
rich ecology,"ecology, spatial",30,mean pairwise distance,96.0,0.004991554012370142,0,default
rich ecology,"ecology, spatial",30,sum pairwise distance,224.0,0.8612125197358381,0,default
rich ecology,"ecology, spatial",30,mean evolutionary distinctiveness,206.0,0.5857115693468691,0,default
rich ecology,plain,30,colless-like index,203.0,0.5440062075841892,0,default
rich ecology,plain,30,mean pairwise distance,74.0,0.0011138009078172067,0,default
rich ecology,plain,30,sum pairwise distance,1.0,1.9209211049031396e-06,0,default
rich ecology,plain,30,mean evolutionary distinctiveness,0.0,1.7343976283205784e-06,0,default
rich ecology,"rich ecology, spatial",30,colless-like index,227.0,0.9099307681587345,0,default
rich ecology,"rich ecology, spatial",30,mean pairwise distance,96.0,0.004991554012370142,0,default
rich ecology,"rich ecology, spatial",30,sum pairwise distance,7.0,3.5152372790448263e-06,0,default
rich ecology,"rich ecology, spatial",30,mean evolutionary distinctiveness,9.0,4.285685869189864e-06,0,default
rich ecology,strong selection,30,colless-like index,144.0,0.06871363079688197,0,default
rich ecology,strong selection,30,mean pairwise distance,211.0,0.6583305240881341,0,default
rich ecology,strong selection,30,sum pairwise distance,0.0,1.7343976283205784e-06,0,default
rich ecology,strong selection,30,mean evolutionary distinctiveness,0.0,1.7343976283205784e-06,0,default
rich ecology,weak ecology,30,colless-like index,191.0,0.3933343721992797,0,default
rich ecology,weak ecology,30,mean pairwise distance,93.0,0.0041140307793227126,0,default
rich ecology,weak ecology,30,sum pairwise distance,9.0,4.285685869189864e-06,0,default
rich ecology,weak ecology,30,mean evolutionary distinctiveness,2.0,2.1266360107314253e-06,0,default
rich ecology,"weak ecology, spatial",30,colless-like index,176.0,0.24519030932096386,0,default
rich ecology,"weak ecology, spatial",30,mean pairwise distance,182.0,0.29894375201959067,0,default
rich ecology,"weak ecology, spatial",30,sum pairwise distance,104.0,0.008216736457590426,0,default
rich ecology,"weak ecology, spatial",30,mean evolutionary distinctiveness,106.0,0.0092710251720259,0,default
rich ecology,weak selection,30,colless-like index,213.0,0.6883592982254604,0,default
rich ecology,weak selection,30,mean pairwise distance,144.0,0.06871363079688197,0,default
rich ecology,weak selection,30,sum pairwise distance,0.0,1.7343976283205784e-06,0,default
rich ecology,weak selection,30,mean evolutionary distinctiveness,0.0,1.7343976283205784e-06,0,default
"rich ecology, spatial",ecology,30,colless-like index,182.0,0.29894375201959067,0,default
"rich ecology, spatial",ecology,30,mean pairwise distance,157.0,0.12044472790832522,0,default
"rich ecology, spatial",ecology,30,sum pairwise distance,0.0,1.7343976283205784e-06,0,default
"rich ecology, spatial",ecology,30,mean evolutionary distinctiveness,0.0,1.7343976283205784e-06,0,default
"rich ecology, spatial","ecology, spatial",30,colless-like index,212.0,0.6732798065233047,0,default
"rich ecology, spatial","ecology, spatial",30,mean pairwise distance,146.0,0.0752133122154768,0,default
