regime1,regime2,n,phylometric,statistic,p,epoch,mut_distn
4 niche ecology,8 niche ecology,50,colless_like_index,1.0,8.031090907046913e-10,0,np.random.exponential
4 niche ecology,8 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,0,np.random.exponential
4 niche ecology,8 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,0,np.random.exponential
4 niche ecology,8 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
4 niche ecology,plain,50,colless_like_index,0.0,7.556929455863566e-10,0,np.random.exponential
4 niche ecology,plain,50,mean_pairwise_distance,0.0,7.556929455863566e-10,0,np.random.exponential
4 niche ecology,plain,50,sum_distance,0.0,7.556929455863566e-10,0,np.random.exponential
4 niche ecology,plain,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
4 niche ecology,weak 4 niche ecology,50,colless_like_index,0.0,7.556929455863566e-10,0,np.random.exponential
4 niche ecology,weak 4 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,0,np.random.exponential
4 niche ecology,weak 4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,0,np.random.exponential
4 niche ecology,weak 4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
plain,8 niche ecology,50,colless_like_index,0.0,7.556929455863566e-10,0,np.random.exponential
plain,8 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,0,np.random.exponential
plain,8 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,0,np.random.exponential
plain,8 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
weak 4 niche ecology,8 niche ecology,50,colless_like_index,0.0,7.556929455863566e-10,0,np.random.exponential
weak 4 niche ecology,8 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,0,np.random.exponential
weak 4 niche ecology,8 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,0,np.random.exponential
weak 4 niche ecology,8 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
weak 4 niche ecology,plain,50,colless_like_index,189.0,1.4945133405887308e-05,0,np.random.exponential
