quality,n,phylometric,statistic,p,regime,epoch,mut_distn
1% resolution,50,colless_like_index,614.0,0.8205387894383639,ecology,0,np.random.exponential
33% resolution,50,colless_like_index,0.0,7.556929455863566e-10,ecology,0,np.random.exponential
10% resolution,50,colless_like_index,124.0,7.160522709164976e-07,ecology,0,np.random.exponential
3% resolution,50,colless_like_index,569.0,0.5084522642448014,ecology,0,np.random.exponential
1% resolution,50,mean_evolutionary_distinctiveness,633.0,0.9653509884575846,ecology,0,np.random.exponential
33% resolution,50,mean_evolutionary_distinctiveness,621.0,0.8734489877977527,ecology,0,np.random.exponential
10% resolution,50,mean_evolutionary_distinctiveness,629.0,0.9346046719840639,ecology,0,np.random.exponential
3% resolution,50,mean_evolutionary_distinctiveness,599.0,0.7101525415643333,ecology,0,np.random.exponential
1% resolution,50,mean_pairwise_distance,632.0,0.9576577827172162,ecology,0,np.random.exponential
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,ecology,0,np.random.exponential
10% resolution,50,mean_pairwise_distance,86.0,1.016310324350643e-07,ecology,0,np.random.exponential
3% resolution,50,mean_pairwise_distance,541.0,0.35157358369701,ecology,0,np.random.exponential
1% resolution,50,sum_distance,625.0,0.9039556033614752,ecology,0,np.random.exponential
33% resolution,50,sum_distance,621.0,0.8734489877977527,ecology,0,np.random.exponential
10% resolution,50,sum_distance,637.0,0.9961489139450291,ecology,0,np.random.exponential
3% resolution,50,sum_distance,606.0,0.7610682552125038,ecology,0,np.random.exponential
10% resolution,50,colless_like_index,160.0,4.0375392997249546e-06,plain,0,np.random.exponential
1% resolution,50,colless_like_index,635.0,0.9807463639015632,plain,0,np.random.exponential
3% resolution,50,colless_like_index,606.0,0.7610682552125038,plain,0,np.random.exponential
33% resolution,50,colless_like_index,0.0,7.556929455863566e-10,plain,0,np.random.exponential
10% resolution,50,mean_evolutionary_distinctiveness,538.0,0.336803013190896,plain,0,np.random.exponential
1% resolution,50,mean_evolutionary_distinctiveness,598.0,0.7029773092534963,plain,0,np.random.exponential
3% resolution,50,mean_evolutionary_distinctiveness,564.0,0.47800433690945443,plain,0,np.random.exponential
33% resolution,50,mean_evolutionary_distinctiveness,588.0,0.6327660147059379,plain,0,np.random.exponential
10% resolution,50,mean_pairwise_distance,122.0,6.482283621094172e-07,plain,0,np.random.exponential
1% resolution,50,mean_pairwise_distance,614.0,0.8205387894383639,plain,0,np.random.exponential
3% resolution,50,mean_pairwise_distance,570.0,0.5146616284591244,plain,0,np.random.exponential
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,plain,0,np.random.exponential
10% resolution,50,sum_distance,532.0,0.3084779739418636,plain,0,np.random.exponential
1% resolution,50,sum_distance,593.0,0.6675078082538215,plain,0,np.random.exponential
3% resolution,50,sum_distance,564.0,0.47800433690945443,plain,0,np.random.exponential
33% resolution,50,sum_distance,599.0,0.7101525415643333,plain,0,np.random.exponential
10% resolution,50,colless_like_index,189.0,1.4945133405887308e-05,rich ecology,0,np.random.exponential
1% resolution,50,colless_like_index,634.0,0.973047420887899,rich ecology,0,np.random.exponential
3% resolution,50,colless_like_index,628.0,0.9269315130521094,rich ecology,0,np.random.exponential
33% resolution,50,colless_like_index,0.0,7.556929455863566e-10,rich ecology,0,np.random.exponential
10% resolution,50,mean_evolutionary_distinctiveness,630.0,0.9422839110260988,rich ecology,0,np.random.exponential
1% resolution,50,mean_evolutionary_distinctiveness,606.0,0.7610682552125038,rich ecology,0,np.random.exponential
3% resolution,50,mean_evolutionary_distinctiveness,637.0,0.9961489139450291,rich ecology,0,np.random.exponential
33% resolution,50,mean_evolutionary_distinctiveness,609.0,0.7832252432554863,rich ecology,0,np.random.exponential
10% resolution,50,mean_pairwise_distance,106.0,2.8863964852459415e-07,rich ecology,0,np.random.exponential
1% resolution,50,mean_pairwise_distance,616.0,0.8355838689274765,rich ecology,0,np.random.exponential
3% resolution,50,mean_pairwise_distance,617.0,0.8431293969609626,rich ecology,0,np.random.exponential
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,rich ecology,0,np.random.exponential
10% resolution,50,sum_distance,630.0,0.9422839110260988,rich ecology,0,np.random.exponential
1% resolution,50,sum_distance,605.0,0.7537249310173678,rich ecology,0,np.random.exponential
3% resolution,50,sum_distance,637.0,0.9961489139450291,rich ecology,0,np.random.exponential
33% resolution,50,sum_distance,609.0,0.7832252432554863,rich ecology,0,np.random.exponential
33% resolution,50,colless_like_index,1.0,8.031090907046913e-10,spatial structure,0,np.random.exponential
10% resolution,50,colless_like_index,467.0,0.09978764078953349,spatial structure,0,np.random.exponential
3% resolution,50,colless_like_index,632.0,0.9576577827172162,spatial structure,0,np.random.exponential
1% resolution,50,colless_like_index,619.0,0.8582630586832802,spatial structure,0,np.random.exponential
33% resolution,50,mean_evolutionary_distinctiveness,556.0,0.4314327881730913,spatial structure,0,np.random.exponential
10% resolution,50,mean_evolutionary_distinctiveness,634.0,0.973047420887899,spatial structure,0,np.random.exponential
3% resolution,50,mean_evolutionary_distinctiveness,607.0,0.7684331661508539,spatial structure,0,np.random.exponential
1% resolution,50,mean_evolutionary_distinctiveness,613.0,0.8130405737621077,spatial structure,0,np.random.exponential
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,spatial structure,0,np.random.exponential
10% resolution,50,mean_pairwise_distance,373.0,0.010670992924015925,spatial structure,0,np.random.exponential
3% resolution,50,mean_pairwise_distance,603.0,0.7391055127705244,spatial structure,0,np.random.exponential
1% resolution,50,mean_pairwise_distance,618.0,0.8506893529466235,spatial structure,0,np.random.exponential
33% resolution,50,sum_distance,556.0,0.4314327881730913,spatial structure,0,np.random.exponential
10% resolution,50,sum_distance,634.0,0.973047420887899,spatial structure,0,np.random.exponential
3% resolution,50,sum_distance,607.0,0.7684331661508539,spatial structure,0,np.random.exponential
1% resolution,50,sum_distance,613.0,0.8130405737621077,spatial structure,0,np.random.exponential
33% resolution,50,colless_like_index,0.0,7.556929455863566e-10,strong selection,0,np.random.exponential
1% resolution,50,colless_like_index,631.0,0.9499685188719619,strong selection,0,np.random.exponential
3% resolution,50,colless_like_index,631.0,0.9499685188719619,strong selection,0,np.random.exponential
10% resolution,50,colless_like_index,485.0,0.14098712619772763,strong selection,0,np.random.exponential
33% resolution,50,mean_evolutionary_distinctiveness,487.0,0.14627417055112005,strong selection,0,np.random.exponential
1% resolution,50,mean_evolutionary_distinctiveness,467.0,0.09978764078953349,strong selection,0,np.random.exponential
3% resolution,50,mean_evolutionary_distinctiveness,426.0,0.04118443140755395,strong selection,0,np.random.exponential
10% resolution,50,mean_evolutionary_distinctiveness,429.0,0.0441452937390526,strong selection,0,np.random.exponential
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,strong selection,0,np.random.exponential
1% resolution,50,mean_pairwise_distance,633.0,0.9653509884575846,strong selection,0,np.random.exponential
3% resolution,50,mean_pairwise_distance,630.0,0.9422839110260988,strong selection,0,np.random.exponential
10% resolution,50,mean_pairwise_distance,502.0,0.19086677662185036,strong selection,0,np.random.exponential
33% resolution,50,sum_distance,477.0,0.1212973114517199,strong selection,0,np.random.exponential
1% resolution,50,sum_distance,464.0,0.09396487281109463,strong selection,0,np.random.exponential
3% resolution,50,sum_distance,410.0,0.028083291139889135,strong selection,0,np.random.exponential
10% resolution,50,sum_distance,417.0,0.03329167897540818,strong selection,0,np.random.exponential
10% resolution,50,colless_like_index,81.0,7.784669528923821e-08,weak ecology,0,np.random.exponential
3% resolution,50,colless_like_index,612.0,0.805559457241567,weak ecology,0,np.random.exponential
33% resolution,50,colless_like_index,0.0,7.556929455863566e-10,weak ecology,0,np.random.exponential
1% resolution,50,colless_like_index,564.0,0.47800433690945443,weak ecology,0,np.random.exponential
10% resolution,50,mean_evolutionary_distinctiveness,603.0,0.7391055127705244,weak ecology,0,np.random.exponential
3% resolution,50,mean_evolutionary_distinctiveness,610.0,0.7906511428554124,weak ecology,0,np.random.exponential
33% resolution,50,mean_evolutionary_distinctiveness,628.0,0.9269315130521094,weak ecology,0,np.random.exponential
