quality,n,phylometric,statistic,p,regime,epoch,mut_distn
33% resolution,50,colless-like index,1.0,8.031090907046913e-10,ecology,0,np.random.exponential
10% resolution,50,colless-like index,497.0,0.175008298276776,ecology,0,np.random.exponential
1% resolution,50,colless-like index,559.0,0.44858127474384846,ecology,0,np.random.exponential
3% resolution,50,colless-like index,602.0,0.73183063851359,ecology,0,np.random.exponential
33% resolution,50,mean evolutionary distinctiveness,514.0,0.23319070659441454,ecology,0,np.random.exponential
10% resolution,50,mean evolutionary distinctiveness,606.0,0.7610682552125038,ecology,0,np.random.exponential
1% resolution,50,mean evolutionary distinctiveness,631.0,0.9499685188719619,ecology,0,np.random.exponential
3% resolution,50,mean evolutionary distinctiveness,579.0,0.5722664037295826,ecology,0,np.random.exponential
33% resolution,50,mean pairwise distance,0.0,7.556929455863566e-10,ecology,0,np.random.exponential
10% resolution,50,mean pairwise distance,482.0,0.13333362095374612,ecology,0,np.random.exponential
1% resolution,50,mean pairwise distance,465.0,0.09587474145721818,ecology,0,np.random.exponential
3% resolution,50,mean pairwise distance,560.0,0.4543822927004746,ecology,0,np.random.exponential
33% resolution,50,sum distance,514.0,0.23319070659441454,ecology,0,np.random.exponential
10% resolution,50,sum distance,606.0,0.7610682552125038,ecology,0,np.random.exponential
1% resolution,50,sum distance,631.0,0.9499685188719619,ecology,0,np.random.exponential
3% resolution,50,sum distance,579.5,0.5755521344515635,ecology,0,np.random.exponential
33% resolution,50,colless-like index,1.0,8.031090907046913e-10,plain,0,np.random.exponential
10% resolution,50,colless-like index,467.0,0.09978764078953349,plain,0,np.random.exponential
3% resolution,50,colless-like index,632.0,0.9576577827172162,plain,0,np.random.exponential
1% resolution,50,colless-like index,619.0,0.8582630586832802,plain,0,np.random.exponential
33% resolution,50,mean evolutionary distinctiveness,556.0,0.4314327881730913,plain,0,np.random.exponential
10% resolution,50,mean evolutionary distinctiveness,634.0,0.973047420887899,plain,0,np.random.exponential
3% resolution,50,mean evolutionary distinctiveness,607.0,0.7684331661508539,plain,0,np.random.exponential
1% resolution,50,mean evolutionary distinctiveness,613.0,0.8130405737621077,plain,0,np.random.exponential
33% resolution,50,mean pairwise distance,0.0,7.556929455863566e-10,plain,0,np.random.exponential
10% resolution,50,mean pairwise distance,373.0,0.010670992924015925,plain,0,np.random.exponential
3% resolution,50,mean pairwise distance,603.0,0.7391055127705244,plain,0,np.random.exponential
1% resolution,50,mean pairwise distance,618.0,0.8506893529466235,plain,0,np.random.exponential
33% resolution,50,sum distance,556.0,0.4314327881730913,plain,0,np.random.exponential
10% resolution,50,sum distance,634.0,0.973047420887899,plain,0,np.random.exponential
3% resolution,50,sum distance,607.0,0.7684331661508539,plain,0,np.random.exponential
1% resolution,50,sum distance,613.0,0.8130405737621077,plain,0,np.random.exponential
10% resolution,50,colless-like index,555.0,0.425802198406505,rich ecology,0,np.random.exponential
1% resolution,50,colless-like index,243.0,0.00013997160351564034,rich ecology,0,np.random.exponential
33% resolution,50,colless-like index,0.0,7.556929455863566e-10,rich ecology,0,np.random.exponential
3% resolution,50,colless-like index,255.0,0.00022216596965950796,rich ecology,0,np.random.exponential
10% resolution,50,mean evolutionary distinctiveness,511.0,0.22203311073335785,rich ecology,0,np.random.exponential
1% resolution,50,mean evolutionary distinctiveness,632.0,0.9576577827172162,rich ecology,0,np.random.exponential
33% resolution,50,mean evolutionary distinctiveness,486.0,0.14361198867269973,rich ecology,0,np.random.exponential
3% resolution,50,mean evolutionary distinctiveness,563.0,0.4720366364421994,rich ecology,0,np.random.exponential
10% resolution,50,mean pairwise distance,155.0,3.197509144816302e-06,rich ecology,0,np.random.exponential
1% resolution,50,mean pairwise distance,49.0,1.3394511022385218e-08,rich ecology,0,np.random.exponential
33% resolution,50,mean pairwise distance,0.0,7.556929455863566e-10,rich ecology,0,np.random.exponential
3% resolution,50,mean pairwise distance,43.0,9.530799618618074e-09,rich ecology,0,np.random.exponential
10% resolution,50,sum distance,511.0,0.22203311073335785,rich ecology,0,np.random.exponential
1% resolution,50,sum distance,632.0,0.9576577827172162,rich ecology,0,np.random.exponential
33% resolution,50,sum distance,486.0,0.14361198867269973,rich ecology,0,np.random.exponential
3% resolution,50,sum distance,563.0,0.4720366364421994,rich ecology,0,np.random.exponential
3% resolution,50,colless-like index,573.0,0.5335234365917243,weak ecology,0,np.random.exponential
1% resolution,50,colless-like index,636.0,0.9884471006904338,weak ecology,0,np.random.exponential
10% resolution,50,colless-like index,327.0,0.002723440735643718,weak ecology,0,np.random.exponential
33% resolution,50,colless-like index,0.0,7.556929455863566e-10,weak ecology,0,np.random.exponential
3% resolution,50,mean evolutionary distinctiveness,612.0,0.805559457241567,weak ecology,0,np.random.exponential
1% resolution,50,mean evolutionary distinctiveness,613.0,0.8130405737621077,weak ecology,0,np.random.exponential
10% resolution,50,mean evolutionary distinctiveness,594.0,0.6745456337061272,weak ecology,0,np.random.exponential
33% resolution,50,mean evolutionary distinctiveness,476.0,0.11899531368679402,weak ecology,0,np.random.exponential
3% resolution,50,mean pairwise distance,553.0,0.4146705674113692,weak ecology,0,np.random.exponential
1% resolution,50,mean pairwise distance,603.0,0.7391055127705244,weak ecology,0,np.random.exponential
10% resolution,50,mean pairwise distance,200.0,2.4074094807268668e-05,weak ecology,0,np.random.exponential
33% resolution,50,mean pairwise distance,0.0,7.556929455863566e-10,weak ecology,0,np.random.exponential
3% resolution,50,sum distance,612.0,0.805559457241567,weak ecology,0,np.random.exponential
1% resolution,50,sum distance,613.0,0.8130405737621077,weak ecology,0,np.random.exponential
10% resolution,50,sum distance,594.0,0.6745456337061272,weak ecology,0,np.random.exponential
33% resolution,50,sum distance,476.0,0.11899531368679402,weak ecology,0,np.random.exponential
3% resolution,50,colless-like index,533.0,0.31308609275657884,ecology,0,np.random.standard_normal
10% resolution,50,colless-like index,469.0,0.10382687040086713,ecology,0,np.random.standard_normal
1% resolution,50,colless-like index,537.0,0.3319694831715281,ecology,0,np.random.standard_normal
33% resolution,50,colless-like index,0.0,7.556929455863566e-10,ecology,0,np.random.standard_normal
3% resolution,50,mean evolutionary distinctiveness,598.0,0.7029773092534963,ecology,0,np.random.standard_normal
10% resolution,50,mean evolutionary distinctiveness,607.0,0.7684331661508539,ecology,0,np.random.standard_normal
1% resolution,50,mean evolutionary distinctiveness,634.0,0.973047420887899,ecology,0,np.random.standard_normal
33% resolution,50,mean evolutionary distinctiveness,562.0,0.4661102219910902,ecology,0,np.random.standard_normal
3% resolution,50,mean pairwise distance,404.0,0.02419361580033565,ecology,0,np.random.standard_normal
10% resolution,50,mean pairwise distance,514.0,0.23319070659441454,ecology,0,np.random.standard_normal
1% resolution,50,mean pairwise distance,382.0,0.013647399077956259,ecology,0,np.random.standard_normal
33% resolution,50,mean pairwise distance,0.0,7.556929455863566e-10,ecology,0,np.random.standard_normal
3% resolution,50,sum distance,598.0,0.7029773092534963,ecology,0,np.random.standard_normal
10% resolution,50,sum distance,607.0,0.7684331661508539,ecology,0,np.random.standard_normal
1% resolution,50,sum distance,634.0,0.973047420887899,ecology,0,np.random.standard_normal
33% resolution,50,sum distance,562.0,0.4661102219910902,ecology,0,np.random.standard_normal
10% resolution,50,colless-like index,432.0,0.04728385404001058,plain,0,np.random.standard_normal
3% resolution,50,colless-like index,590.0,0.6465711850099514,plain,0,np.random.standard_normal
33% resolution,50,colless-like index,5.0,1.0235189212610724e-09,plain,0,np.random.standard_normal
1% resolution,50,colless-like index,600.0,0.7173535621498253,plain,0,np.random.standard_normal
10% resolution,50,mean evolutionary distinctiveness,637.0,0.9961489139450291,plain,0,np.random.standard_normal
3% resolution,50,mean evolutionary distinctiveness,614.0,0.8205387894383639,plain,0,np.random.standard_normal
33% resolution,50,mean evolutionary distinctiveness,557.0,0.43710630271165707,plain,0,np.random.standard_normal
1% resolution,50,mean evolutionary distinctiveness,604.0,0.7464038125448392,plain,0,np.random.standard_normal
10% resolution,50,mean pairwise distance,365.0,0.008525474468102711,plain,0,np.random.standard_normal
3% resolution,50,mean pairwise distance,581.0,0.5854713957431565,plain,0,np.random.standard_normal
33% resolution,50,mean pairwise distance,0.0,7.556929455863566e-10,plain,0,np.random.standard_normal
1% resolution,50,mean pairwise distance,592.0,0.6604991063759617,plain,0,np.random.standard_normal
10% resolution,50,sum distance,637.0,0.9961489139450291,plain,0,np.random.standard_normal
3% resolution,50,sum distance,614.0,0.8205387894383639,plain,0,np.random.standard_normal
33% resolution,50,sum distance,557.0,0.43710630271165707,plain,0,np.random.standard_normal
1% resolution,50,sum distance,604.0,0.7464038125448392,plain,0,np.random.standard_normal
10% resolution,50,colless-like index,635.0,0.9807463639015632,rich ecology,0,np.random.standard_normal
1% resolution,50,colless-like index,271.0,0.0004032820954100997,rich ecology,0,np.random.standard_normal
33% resolution,50,colless-like index,0.0,7.556929455863566e-10,rich ecology,0,np.random.standard_normal
3% resolution,50,colless-like index,313.0,0.0017333096381814846,rich ecology,0,np.random.standard_normal
10% resolution,50,mean evolutionary distinctiveness,492.0,0.16015452450984402,rich ecology,0,np.random.standard_normal
1% resolution,50,mean evolutionary distinctiveness,601.0,0.7245797902868737,rich ecology,0,np.random.standard_normal
33% resolution,50,mean evolutionary distinctiveness,387.0,0.015599803007704178,rich ecology,0,np.random.standard_normal
3% resolution,50,mean evolutionary distinctiveness,555.0,0.425802198406505,rich ecology,0,np.random.standard_normal
10% resolution,50,mean pairwise distance,274.0,0.0004498510581506042,rich ecology,0,np.random.standard_normal
1% resolution,50,mean pairwise distance,50.0,1.4171696914869546e-08,rich ecology,0,np.random.standard_normal
33% resolution,50,mean pairwise distance,0.0,7.556929455863566e-10,rich ecology,0,np.random.standard_normal
3% resolution,50,mean pairwise distance,76.0,5.949378648206278e-08,rich ecology,0,np.random.standard_normal
10% resolution,50,sum distance,492.0,0.16015452450984402,rich ecology,0,np.random.standard_normal
1% resolution,50,sum distance,601.0,0.7245797902868737,rich ecology,0,np.random.standard_normal
33% resolution,50,sum distance,387.0,0.015599803007704178,rich ecology,0,np.random.standard_normal
3% resolution,50,sum distance,555.0,0.425802198406505,rich ecology,0,np.random.standard_normal
33% resolution,50,colless-like index,0.0,7.556929455863566e-10,weak ecology,0,np.random.standard_normal
3% resolution,50,colless-like index,490.0,0.15448740694256521,weak ecology,0,np.random.standard_normal
1% resolution,50,colless-like index,626.0,0.9116062720674252,weak ecology,0,np.random.standard_normal
10% resolution,50,colless-like index,309.0,0.0015186178609486684,weak ecology,0,np.random.standard_normal
33% resolution,50,mean evolutionary distinctiveness,494.0,0.16597741534373123,weak ecology,0,np.random.standard_normal
3% resolution,50,mean evolutionary distinctiveness,597.0,0.6958284390633942,weak ecology,0,np.random.standard_normal
1% resolution,50,mean evolutionary distinctiveness,622.0,0.8810598365200165,weak ecology,0,np.random.standard_normal
10% resolution,50,mean evolutionary distinctiveness,629.0,0.9346046719840639,weak ecology,0,np.random.standard_normal
33% resolution,50,mean pairwise distance,0.0,7.556929455863566e-10,weak ecology,0,np.random.standard_normal
3% resolution,50,mean pairwise distance,488.0,0.1489739508366709,weak ecology,0,np.random.standard_normal
1% resolution,50,mean pairwise distance,618.0,0.8506893529466235,weak ecology,0,np.random.standard_normal
10% resolution,50,mean pairwise distance,188.0,1.4303567613171629e-05,weak ecology,0,np.random.standard_normal
33% resolution,50,sum distance,494.0,0.16597741534373123,weak ecology,0,np.random.standard_normal
3% resolution,50,sum distance,597.0,0.6958284390633942,weak ecology,0,np.random.standard_normal
1% resolution,50,sum distance,622.0,0.8810598365200165,weak ecology,0,np.random.standard_normal
10% resolution,50,sum distance,629.0,0.9346046719840639,weak ecology,0,np.random.standard_normal
3% resolution,50,colless-like index,627.0,0.9192651438406544,ecology,2,np.random.exponential
