regime ,quality ,sensitivity_analysis_variables ,quartet_distance mean,quartet_distance median,quartet_distance std,quartet_distance max
ecology,1% resolution,epoch=0+mut_distn=np.random.exponential,5.198020692960214e-05,3.301349720692064e-06,0.0001844553924748801,0.001244139040799
ecology,1% resolution,epoch=0+mut_distn=np.random.standard_normal,1.8612876403284733e-05,9.859390645368838e-07,4.7391196988047924e-05,0.000280301238723
ecology,1% resolution,epoch=2+mut_distn=np.random.exponential,0.000162268874713759,2.1222362970928645e-06,0.0006371024305958228,0.0042708105257324
ecology,1% resolution,epoch=2+mut_distn=np.random.standard_normal,3.186241111452931e-05,9.027194392707414e-07,9.639965571921703e-05,0.0006010996198813
ecology,1% resolution,epoch=7+mut_distn=np.random.exponential,1.912953919130853e-05,1.5602879118259319e-06,4.035123192695007e-05,0.0001862450437798
ecology,1% resolution,epoch=7+mut_distn=np.random.standard_normal,5.339636852170015e-05,1.2867337459905453e-06,0.00014148029354558813,0.0007554569331026
ecology,10% resolution,epoch=0+mut_distn=np.random.exponential,0.008505989808771468,0.0058849184955503,0.014143312323954629,0.1016628315096115
ecology,10% resolution,epoch=0+mut_distn=np.random.standard_normal,0.006129028294237402,0.00500011700164725,0.004655788881696304,0.0221843179475649
ecology,10% resolution,epoch=2+mut_distn=np.random.exponential,0.005844671600310683,0.0037355029388349,0.005912432315216178,0.0293892940746384
ecology,10% resolution,epoch=2+mut_distn=np.random.standard_normal,0.006353708257995492,0.0051691238074048,0.004915671854668715,0.0271399159965605
ecology,10% resolution,epoch=7+mut_distn=np.random.exponential,0.006072161834500306,0.0055377127903128,0.004509863252384508,0.017865246842624
ecology,10% resolution,epoch=7+mut_distn=np.random.standard_normal,0.01128359095620357,0.006331619520825249,0.021725464017562146,0.1258437497153605
ecology,3% resolution,epoch=0+mut_distn=np.random.exponential,0.002514788839547719,1.8100986088645017e-05,0.013289250815116373,0.094041700886704
ecology,3% resolution,epoch=0+mut_distn=np.random.standard_normal,0.0005589593938475329,1.4244735341762702e-05,0.0013632945379250156,0.0060274842430948
ecology,3% resolution,epoch=2+mut_distn=np.random.exponential,0.00041721012887611236,8.521521669794892e-06,0.001138265770054948,0.0051792400198805
ecology,3% resolution,epoch=2+mut_distn=np.random.standard_normal,0.0008481164809918392,9.642911995637983e-05,0.001755206837493193,0.0092808201112146
ecology,3% resolution,epoch=7+mut_distn=np.random.exponential,0.0009547716049616851,3.6058979728835006e-05,0.002200631511409895,0.0103258796810824
ecology,3% resolution,epoch=7+mut_distn=np.random.standard_normal,0.002892910023016314,4.407420367375536e-05,0.013444521579287877,0.0942986506672834
ecology,33% resolution,epoch=0+mut_distn=np.random.exponential,0.03210240988929665,0.0286344559731195,0.022667488551835265,0.1167849588071835
ecology,33% resolution,epoch=0+mut_distn=np.random.standard_normal,0.029060110427974323,0.022369301610101498,0.0252936494108198,0.1268946611395536
ecology,33% resolution,epoch=2+mut_distn=np.random.exponential,0.026221050611289386,0.02144641853335355,0.01971187490681713,0.1122717243819142
ecology,33% resolution,epoch=2+mut_distn=np.random.standard_normal,0.029343293446630163,0.023697770218631647,0.02374857999287393,0.1305377437116857
ecology,33% resolution,epoch=7+mut_distn=np.random.exponential,0.024824444466552215,0.020667462353853597,0.01646614479754787,0.1257139007948186
ecology,33% resolution,epoch=7+mut_distn=np.random.standard_normal,0.029701047727290226,0.02212731988164115,0.027339522260841943,0.1461172004933653
neutral selection,1% resolution,epoch=0+mut_distn=np.random.exponential,0.0016359793000125464,4.82263794073524e-06,0.0062599565638800925,0.0324124311322987
neutral selection,1% resolution,epoch=0+mut_distn=np.random.standard_normal,0.0021574439937641276,6.565035126003284e-06,0.010403413820005666,0.0718775509544621
neutral selection,1% resolution,epoch=2+mut_distn=np.random.exponential,0.002283215001441527,6.5610350883847645e-06,0.008704616583679168,0.052022558010446
neutral selection,1% resolution,epoch=2+mut_distn=np.random.standard_normal,0.0006592360026065102,3.036251845694229e-06,0.003155704325623051,0.0216766004498758
neutral selection,1% resolution,epoch=7+mut_distn=np.random.exponential,0.00025755390940783543,1.8328648485029396e-06,0.0007508373091098697,0.0035953270935042
neutral selection,1% resolution,epoch=7+mut_distn=np.random.standard_normal,0.002326904162219237,8.82694896675095e-06,0.008421458026703889,0.0518595987534705
neutral selection,10% resolution,epoch=0+mut_distn=np.random.exponential,0.012673205401126326,0.00350409945771205,0.017868378341012563,0.0854449998631196
neutral selection,10% resolution,epoch=0+mut_distn=np.random.standard_normal,0.010128070593796812,0.004156387493624949,0.015351970570108646,0.0722120355790165
neutral selection,10% resolution,epoch=2+mut_distn=np.random.exponential,0.011758260587546317,0.0030088325019579,0.018599065723281787,0.0807159890115956
neutral selection,10% resolution,epoch=2+mut_distn=np.random.standard_normal,0.01223057071418898,0.0033054992049697998,0.020094881170248817,0.0835567479514533
neutral selection,10% resolution,epoch=7+mut_distn=np.random.exponential,0.009017993369657772,0.0039069971946478505,0.012369810151016267,0.0629915288231224
neutral selection,10% resolution,epoch=7+mut_distn=np.random.standard_normal,0.014254326585720678,0.0038107358504644497,0.019614337215578273,0.0834140949090903
neutral selection,3% resolution,epoch=0+mut_distn=np.random.exponential,0.002892400759773487,0.0004469094760848,0.00731049697151661,0.0324728171053813
neutral selection,3% resolution,epoch=0+mut_distn=np.random.standard_normal,0.0047019674786766795,0.0003088647806051,0.011955866869144044,0.0719145228685311
neutral selection,3% resolution,epoch=2+mut_distn=np.random.exponential,0.0029393804015804253,0.00018857191595690002,0.00867822141677639,0.0520524759833333
neutral selection,3% resolution,epoch=2+mut_distn=np.random.standard_normal,0.005239913794968097,0.0001353329777977,0.014527940653070956,0.0749231367119146
neutral selection,3% resolution,epoch=7+mut_distn=np.random.exponential,0.0022939758163536637,0.00040452981739415,0.006558600521192565,0.0431005348492029
neutral selection,3% resolution,epoch=7+mut_distn=np.random.standard_normal,0.0035086328133908714,0.00017068358482395,0.009174425386041504,0.0527934510660609
