regime ,quality ,sensitivity_analysis_variables ,triplet_distance mean,triplet_distance median,triplet_distance std,triplet_distance max
ecology,1% resolution,epoch=0+mut_distn=np.random.exponential,1.4481052646333181e-05,8.346183176140172e-07,5.2361763523298584e-05,0.0003541813426508
ecology,1% resolution,epoch=0+mut_distn=np.random.standard_normal,5.020484582695335e-06,2.489258528721708e-07,1.2812806524618125e-05,7.59320850929259e-05
ecology,1% resolution,epoch=2+mut_distn=np.random.exponential,4.666338639568124e-05,5.381783000296559e-07,0.000186947604884666,0.0012582305192193
ecology,1% resolution,epoch=2+mut_distn=np.random.standard_normal,8.727674596562953e-06,2.2768436473807432e-07,2.6615366030980362e-05,0.0001648957748916
ecology,1% resolution,epoch=7+mut_distn=np.random.exponential,5.105365385089644e-06,3.9912500385161887e-07,1.0804235722991525e-05,4.95233379806507e-05
ecology,1% resolution,epoch=7+mut_distn=np.random.standard_normal,0.00376509141271566,3.258459628898711e-07,0.02652120474953352,0.1875474644094894
ecology,10% resolution,epoch=0+mut_distn=np.random.exponential,0.0039535679083118344,0.0018053503509412,0.013390631181124595,0.0962325602112483
ecology,10% resolution,epoch=0+mut_distn=np.random.standard_normal,0.013159087217733779,0.00171211534630395,0.04490012222708629,0.1901659029099859
ecology,10% resolution,epoch=2+mut_distn=np.random.exponential,0.0019071548612995752,0.0011368096156327999,0.002251032180399131,0.0132513963909886
ecology,10% resolution,epoch=2+mut_distn=np.random.standard_normal,0.0019803154595972898,0.0014868331860637,0.001603683816793562,0.0087493756821121
ecology,10% resolution,epoch=7+mut_distn=np.random.exponential,0.009401853576011419,0.00166126905126335,0.0372396078176055,0.1902153836370809
ecology,10% resolution,epoch=7+mut_distn=np.random.standard_normal,0.009936902753611218,0.00193725624988065,0.03261353434270513,0.1914183767993438
ecology,3% resolution,epoch=0+mut_distn=np.random.exponential,0.0020808041951587398,4.769064643140856e-06,0.013251390588737331,0.0938485679815026
ecology,3% resolution,epoch=0+mut_distn=np.random.standard_normal,0.003931107313621346,4.543319043855278e-06,0.02649670684486375,0.1875176585574831
ecology,3% resolution,epoch=2+mut_distn=np.random.exponential,0.0001313331832826632,2.2990384869292887e-06,0.0003655635437527342,0.0017223261565963
ecology,3% resolution,epoch=2+mut_distn=np.random.standard_normal,0.0002726677979724755,3.125937250383498e-05,0.0005721420932346049,0.0030007972012447
ecology,3% resolution,epoch=7+mut_distn=np.random.exponential,0.00030865029007566135,9.539172600642693e-06,0.0007268028840435482,0.0034345050138412
ecology,3% resolution,epoch=7+mut_distn=np.random.standard_normal,0.005984852283680723,1.2134109707291379e-05,0.02937482809469297,0.1876083940810722
ecology,33% resolution,epoch=0+mut_distn=np.random.exponential,0.025011755838257654,0.008917012516021249,0.04869145888992062,0.2019576521397494
ecology,33% resolution,epoch=0+mut_distn=np.random.standard_normal,0.04661819380531974,0.0083415068417208,0.07356740993749973,0.1989456441884414
ecology,33% resolution,epoch=2+mut_distn=np.random.exponential,0.025791002048440138,0.0072124271044978,0.0529348776660268,0.1959529965016506
ecology,33% resolution,epoch=2+mut_distn=np.random.standard_normal,0.027912110108888166,0.0073917345325791,0.05496094060371729,0.2018097006527011
ecology,33% resolution,epoch=7+mut_distn=np.random.exponential,0.02015822927714358,0.00645502436924185,0.04719644929894375,0.1994128702564919
ecology,33% resolution,epoch=7+mut_distn=np.random.standard_normal,0.028208015339586275,0.00754228032119485,0.0544301465198001,0.1943825968929038
neutral selection,1% resolution,epoch=0+mut_distn=np.random.exponential,0.004679410157557507,1.3753795348479355e-06,0.021734714306948254,0.1463194249935681
neutral selection,1% resolution,epoch=0+mut_distn=np.random.standard_normal,0.001094777159717224,1.6876238676783716e-06,0.006053197519676138,0.04252560391767
neutral selection,1% resolution,epoch=2+mut_distn=np.random.exponential,0.0012973721485055436,1.6754235277614796e-06,0.005166049439908314,0.0314579530669359
neutral selection,1% resolution,epoch=2+mut_distn=np.random.standard_normal,0.00024426526375581056,7.767353903580071e-07,0.0012538315742564642,0.0087206624774179
