regime,quality,sensitivity_analysis_variables,quartet_distance,quartet_distance,quartet_distance,quartet_distance,quartet_distance,triplet_distance,triplet_distance,triplet_distance,triplet_distance,triplet_distance
,,,mean,std,max,min,kurt,mean,std,max,min,kurt
4 niche ecology,1% resolution,epoch=0+mut_distn=np.random.exponential,9.18171676083114e-06,3.692156559643863e-05,0.000224356791497,-2.1310897284073888e-14,26.556389313053675,2.5551018692705154e-06,1.0518778190763761e-05,6.512716018389511e-05,-2.131110552276356e-14,28.234114171897456
4 niche ecology,1% resolution,epoch=0+mut_distn=np.random.standard_normal,4.863781681996289e-06,1.762516238284249e-05,9.237604533222944e-05,-2.1311547334068443e-14,20.316998961453173,1.2965321995262482e-06,4.6207489835263945e-06,2.4058892777859472e-05,-2.1311755583660023e-14,0.0
4 niche ecology,1% resolution,epoch=2+mut_distn=np.random.exponential,-2.1100525191084288e-14,1.3987028124670502e-16,-2.08438968286768e-14,-2.1313223642774083e-14,0.0,-2.1100729324642125e-14,1.3987297617989354e-16,-2.08440960417102e-14,-2.1313431929488728e-14,0.0
4 niche ecology,1% resolution,epoch=2+mut_distn=np.random.standard_normal,-2.106776480132815e-14,1.3327798544881764e-16,-2.0841221504418562e-14,-2.1304472565005408e-14,0.0,-2.1067968261246317e-14,1.3328047274926184e-16,-2.0841420668012583e-14,-2.130468067655788e-14,0.0
4 niche ecology,1% resolution,epoch=7+mut_distn=np.random.exponential,-2.1060685106904218e-14,1.2838885745631048e-16,-2.0829593833095882e-14,-2.128132514543277e-14,0.0,-2.1060888473494045e-14,1.2839132105521265e-16,-2.082979276627013e-14,-2.1281532806449446e-14,0.0
4 niche ecology,1% resolution,epoch=7+mut_distn=np.random.standard_normal,-2.107340376345591e-14,1.545505972718731e-16,-2.082807120831497e-14,-2.13158545387644e-14,0.0,-2.1073607396876763e-14,1.54553584334066e-16,-2.0828270120624702e-14,-2.1316062873967063e-14,0.0
4 niche ecology,10% resolution,epoch=0+mut_distn=np.random.exponential,0.0012796084477468303,0.0031753391964624194,0.0132415415804099,-2.130553941750269e-14,7.999718918679964,0.0003985576645176002,0.000991228581718465,0.0041561457499647,-2.1305747549579187e-14,8.050585097676207
4 niche ecology,10% resolution,epoch=0+mut_distn=np.random.standard_normal,0.002834498758750902,0.004112611856250969,0.0175879800127831,-2.130716412523516e-14,2.0203280758466162,0.0008851200529199799,0.0012971118745669457,0.0055633092654522,-2.1307372289114407e-14,2.1283476132236183
4 niche ecology,10% resolution,epoch=2+mut_distn=np.random.exponential,-2.1055834458307713e-14,1.3810909573643228e-16,-2.0828892036979545e-14,-2.1314796011800467e-14,0.0,-2.105603775638188e-14,1.3811177038628558e-16,-2.08290909591924e-14,-2.131500432628297e-14,0.0
4 niche ecology,10% resolution,epoch=2+mut_distn=np.random.standard_normal,-2.1038817513792655e-14,1.4202088137273872e-16,-2.083774542564141e-14,-2.131498739859324e-14,0.0,3.896025336421374e-05,0.0002754905936546127,0.0019480126692418,-2.1315195708238827e-14,50.00000000000003
4 niche ecology,10% resolution,epoch=7+mut_distn=np.random.exponential,-2.1076195022804985e-14,1.484991382065376e-16,-2.0839980595506023e-14,-2.130221325257564e-14,0.0,-2.1076398663010582e-14,1.4850206792946504e-16,-2.0840179725627395e-14,-2.1302421315285367e-14,0.0
4 niche ecology,10% resolution,epoch=7+mut_distn=np.random.standard_normal,-2.1056850975263612e-14,1.3357146123343237e-16,-2.0834939806644542e-14,-2.128948208324456e-14,0.0,-2.1057054285120264e-14,1.335740419837761e-16,-2.0835138845363163e-14,-2.1289689901683166e-14,0.0
4 niche ecology,3% resolution,epoch=0+mut_distn=np.random.exponential,9.411961157581612e-05,0.00039662187593565853,0.0024712722687303,-2.1301173614824878e-14,28.42981627854088,3.056547074526705e-05,0.00013084403166385415,0.0008192735351453,-2.1301381655600086e-14,29.02393639027255
4 niche ecology,3% resolution,epoch=0+mut_distn=np.random.standard_normal,0.000306608260030891,0.0011824712835296852,0.0060274842430948,-2.1300407656248093e-14,19.918364716997456,0.0001013373227942644,0.0003926582068941382,0.0020001974657458,-2.130061569257353e-14,19.91445133110814
4 niche ecology,3% resolution,epoch=2+mut_distn=np.random.exponential,-2.1088434578117285e-14,1.4014401936235583e-16,-2.0835887219450342e-14,-2.1304423648587928e-14,0.0,-2.1088638456104766e-14,1.4014669697465697e-16,-2.0836086279299533e-14,-2.1304631759213765e-14,0.0
4 niche ecology,3% resolution,epoch=2+mut_distn=np.random.standard_normal,-2.103733755987252e-14,1.448604045588916e-16,-2.0827949770031772e-14,-2.1305965830011563e-14,0.0,-2.103754049536467e-14,1.448632021433097e-16,-2.0828148678161796e-14,-2.1306173972075385e-14,0.0
4 niche ecology,3% resolution,epoch=7+mut_distn=np.random.exponential,-2.1061651656774546e-14,1.3693113647962359e-16,-2.0828752051624628e-14,-2.1288073346589702e-14,0.0,-2.1061855020256668e-14,1.369337286303985e-16,-2.082895097271857e-14,-2.128828113714911e-14,0.0
4 niche ecology,3% resolution,epoch=7+mut_distn=np.random.standard_normal,-2.1066691176267247e-14,1.387112340243686e-16,-2.083171911758293e-14,-2.1304236597284503e-14,0.0,-2.1066894656720985e-14,1.3871394778899357e-16,-2.083191809527067e-14,-2.1304444697807228e-14,0.0
4 niche ecology,33% resolution,epoch=0+mut_distn=np.random.exponential,0.00868551426324855,0.02351187164057107,0.1167849588071835,-2.131187646016067e-14,14.77915427306404,0.0060469033005331055,0.01957976687005707,0.1007818082248073,-2.1312084713539283e-14,20.704127758601523
4 niche ecology,33% resolution,epoch=0+mut_distn=np.random.standard_normal,0.012782871532452557,0.02504319615628075,0.1218191168771188,-2.1315445054651634e-14,12.115752874263608,0.019131973079864053,0.048597447705939684,0.1940096342981746,-2.126611863330521e-14,8.574194906916734
4 niche ecology,33% resolution,epoch=2+mut_distn=np.random.exponential,-2.1064784084059735e-14,1.4667433825661253e-16,-2.0829455474253907e-14,-2.1311650562750653e-14,0.0,-2.1064987504394207e-14,1.466771103255019e-16,-2.082965440711788e-14,-2.1311858814010863e-14,0.0
