regime1,regime2,n,phylometric,statistic,p,epoch,mut_distn
ecology,plain,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,plain,50,mean pairwise distance,36.0,6.3812412695451034e-09,0,np.random.exponential
ecology,plain,50,sum pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,plain,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,rich ecology,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,rich ecology,50,mean pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,rich ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,rich ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,weak ecology,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,weak ecology,50,mean pairwise distance,74.0,5.339357587716575e-08,0,np.random.exponential
ecology,weak ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,weak ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
plain,rich ecology,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.exponential
plain,rich ecology,50,mean pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
plain,rich ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
plain,rich ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
weak ecology,plain,50,colless-like index,25.0,3.366814035344517e-09,0,np.random.exponential
weak ecology,plain,50,mean pairwise distance,536.0,0.32718100833729613,0,np.random.exponential
weak ecology,plain,50,sum pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
weak ecology,plain,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
weak ecology,rich ecology,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.exponential
weak ecology,rich ecology,50,mean pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
weak ecology,rich ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
weak ecology,rich ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
plain,ecology,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,ecology,50,mean pairwise distance,32.0,5.063849902320951e-09,0,np.random.standard_normal
plain,ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,rich ecology,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,rich ecology,50,mean pairwise distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,rich ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,rich ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,weak ecology,50,colless-like index,34.0,5.685542255423414e-09,0,np.random.standard_normal
plain,weak ecology,50,mean pairwise distance,486.0,0.14361198867269973,0,np.random.standard_normal
plain,weak ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
plain,weak ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
rich ecology,ecology,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.standard_normal
rich ecology,ecology,50,mean pairwise distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
rich ecology,ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
rich ecology,ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
rich ecology,weak ecology,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.standard_normal
rich ecology,weak ecology,50,mean pairwise distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
rich ecology,weak ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
rich ecology,weak ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
weak ecology,ecology,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.standard_normal
weak ecology,ecology,50,mean pairwise distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
weak ecology,ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
weak ecology,ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
ecology,weak ecology,50,colless-like index,390.0,0.01688572946162479,2,np.random.exponential
ecology,weak ecology,50,mean pairwise distance,3.0,9.06805772149548e-10,2,np.random.exponential
ecology,weak ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,2,np.random.exponential
ecology,weak ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,2,np.random.exponential
plain,ecology,50,colless-like index,299.0,0.0010845019501392556,2,np.random.exponential
plain,ecology,50,mean pairwise distance,3.0,9.06805772149548e-10,2,np.random.exponential
plain,ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,2,np.random.exponential
plain,ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,2,np.random.exponential
plain,rich ecology,50,colless-like index,0.0,7.556929455863566e-10,2,np.random.exponential
plain,rich ecology,50,mean pairwise distance,91.0,1.323824855158427e-07,2,np.random.exponential
plain,rich ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,2,np.random.exponential
plain,rich ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,2,np.random.exponential
plain,weak ecology,50,colless-like index,521.0,0.2607556207263785,2,np.random.exponential
plain,weak ecology,50,mean pairwise distance,566.0,0.49006249702346216,2,np.random.exponential
plain,weak ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,2,np.random.exponential
plain,weak ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,2,np.random.exponential
rich ecology,ecology,50,colless-like index,0.0,7.556929455863566e-10,2,np.random.exponential
rich ecology,ecology,50,mean pairwise distance,1.0,8.031090907046913e-10,2,np.random.exponential
rich ecology,ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,2,np.random.exponential
rich ecology,ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,2,np.random.exponential
rich ecology,weak ecology,50,colless-like index,0.0,7.556929455863566e-10,2,np.random.exponential
rich ecology,weak ecology,50,mean pairwise distance,112.0,3.920086785268383e-07,2,np.random.exponential
rich ecology,weak ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,2,np.random.exponential
rich ecology,weak ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,2,np.random.exponential
plain,ecology,50,colless-like index,135.0,1.2298152190805743e-06,2,np.random.standard_normal
plain,ecology,50,mean pairwise distance,0.0,7.556929455863566e-10,2,np.random.standard_normal
plain,ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,2,np.random.standard_normal
plain,ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,2,np.random.standard_normal
rich ecology,ecology,50,colless-like index,0.0,7.556929455863566e-10,2,np.random.standard_normal
rich ecology,ecology,50,mean pairwise distance,0.0,7.556929455863566e-10,2,np.random.standard_normal
rich ecology,ecology,50,sum pairwise distance,0.0,7.556929455863566e-10,2,np.random.standard_normal
