regime1,regime2,n,phylometric,statistic,p,epoch,mut_distn
ecology,plain,50,colless-like index,44.0,1.0089294427154326e-08,0,np.random.exponential
ecology,plain,50,mean pairwise distance,634.0,0.973047420887899,0,np.random.exponential
ecology,plain,50,sum distance,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,plain,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,rich ecology,50,colless-like index,61.0,2.619793470726049e-08,0,np.random.exponential
ecology,rich ecology,50,mean pairwise distance,133.0,1.1155358793431112e-06,0,np.random.exponential
ecology,rich ecology,50,sum distance,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,rich ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,spatial structure,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,spatial structure,50,mean pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,spatial structure,50,sum distance,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,spatial structure,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,strong selection,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,strong selection,50,mean pairwise distance,397.0,0.020253755177481125,0,np.random.exponential
ecology,strong selection,50,sum distance,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,strong selection,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,weak ecology,50,colless-like index,589.0,0.6396530018516378,0,np.random.exponential
ecology,weak ecology,50,mean pairwise distance,632.0,0.9576577827172162,0,np.random.exponential
ecology,weak ecology,50,sum distance,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,weak ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,weak selection,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,weak selection,50,mean pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,weak selection,50,sum distance,0.0,7.556929455863566e-10,0,np.random.exponential
ecology,weak selection,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
plain,weak selection,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.exponential
plain,weak selection,50,mean pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
plain,weak selection,50,sum distance,0.0,7.556929455863566e-10,0,np.random.exponential
plain,weak selection,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
rich ecology,plain,50,colless-like index,1.0,8.031090907046913e-10,0,np.random.exponential
rich ecology,plain,50,mean pairwise distance,163.0,4.6390835888625035e-06,0,np.random.exponential
rich ecology,plain,50,sum distance,0.0,7.556929455863566e-10,0,np.random.exponential
rich ecology,plain,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
rich ecology,strong selection,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.exponential
rich ecology,strong selection,50,mean pairwise distance,84.0,9.137549357034251e-08,0,np.random.exponential
rich ecology,strong selection,50,sum distance,0.0,7.556929455863566e-10,0,np.random.exponential
rich ecology,strong selection,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
rich ecology,weak selection,50,colless-like index,1.0,8.031090907046913e-10,0,np.random.exponential
rich ecology,weak selection,50,mean pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
rich ecology,weak selection,50,sum distance,0.0,7.556929455863566e-10,0,np.random.exponential
rich ecology,weak selection,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,plain,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,plain,50,mean pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,plain,50,sum distance,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,plain,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,rich ecology,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,rich ecology,50,mean pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,rich ecology,50,sum distance,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,rich ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,strong selection,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,strong selection,50,mean pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,strong selection,50,sum distance,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,strong selection,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,weak ecology,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,weak ecology,50,mean pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,weak ecology,50,sum distance,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,weak ecology,50,mean evolutionary distinctiveness,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,weak selection,50,colless-like index,0.0,7.556929455863566e-10,0,np.random.exponential
spatial structure,weak selection,50,mean pairwise distance,0.0,7.556929455863566e-10,0,np.random.exponential
