quality,n,phylometric,statistic,p,regime,epoch,mut_distn
1% resolution,50,colless_like_index,368.0,0.009280120832210179,ecology,0,np.random.exponential
33% resolution,50,colless_like_index,0.0,7.556929455863566e-10,ecology,0,np.random.exponential
10% resolution,50,colless_like_index,154.0,3.050941426780099e-06,ecology,0,np.random.exponential
3% resolution,50,colless_like_index,337.0,0.003721991945786836,ecology,0,np.random.exponential
1% resolution,50,mean_evolutionary_distinctiveness,633.0,0.9653509884575846,ecology,0,np.random.exponential
33% resolution,50,mean_evolutionary_distinctiveness,621.0,0.8734489877977527,ecology,0,np.random.exponential
10% resolution,50,mean_evolutionary_distinctiveness,629.0,0.9346046719840639,ecology,0,np.random.exponential
3% resolution,50,mean_evolutionary_distinctiveness,599.0,0.7101525415643333,ecology,0,np.random.exponential
1% resolution,50,mean_pairwise_distance,378.0,0.012244245598763703,ecology,0,np.random.exponential
33% resolution,50,mean_pairwise_distance,0.0,7.556929455863566e-10,ecology,0,np.random.exponential
10% resolution,50,mean_pairwise_distance,149.0,2.4096796563214802e-06,ecology,0,np.random.exponential
3% resolution,50,mean_pairwise_distance,334.0,0.0033921289197132603,ecology,0,np.random.exponential
1% resolution,50,sum_distance,625.0,0.9039556033614752,ecology,0,np.random.exponential
33% resolution,50,sum_distance,621.0,0.8734489877977527,ecology,0,np.random.exponential
10% resolution,50,sum_distance,637.0,0.9961489139450291,ecology,0,np.random.exponential
3% resolution,50,sum_distance,606.0,0.7610682552125038,ecology,0,np.random.exponential
10% resolution,50,colless_like_index,298.0,0.0010480936344468646,plain,0,np.random.exponential
1% resolution,50,colless_like_index,465.0,0.09587474145721818,plain,0,np.random.exponential
3% resolution,50,colless_like_index,486.0,0.14361198867269973,plain,0,np.random.exponential
33% resolution,50,colless_like_index,25.0,3.366814035344517e-09,plain,0,np.random.exponential
10% resolution,50,mean_evolutionary_distinctiveness,538.0,0.336803013190896,plain,0,np.random.exponential
1% resolution,50,mean_evolutionary_distinctiveness,598.0,0.7029773092534963,plain,0,np.random.exponential
