quality,n,phylometric,statistic,p,regime,epoch,mut_distn
33% resolution,50,colless-like index,523.0,0.26902944110197013,ecology,0,np.random.exponential
10% resolution,50,colless-like index,401.0,0.02243034441503315,ecology,0,np.random.exponential
1% resolution,50,colless-like index,434.0,0.04947883185082109,ecology,0,np.random.exponential
3% resolution,50,colless-like index,438.0,0.05412571718647891,ecology,0,np.random.exponential
33% resolution,50,mean evolutionary distinctiveness,514.0,0.23319070659441454,ecology,0,np.random.exponential
10% resolution,50,mean evolutionary distinctiveness,606.0,0.7610682552125038,ecology,0,np.random.exponential
1% resolution,50,mean evolutionary distinctiveness,631.0,0.9499685188719619,ecology,0,np.random.exponential
3% resolution,50,mean evolutionary distinctiveness,579.0,0.5722664037295826,ecology,0,np.random.exponential
33% resolution,50,mean pairwise distance,560.0,0.4543822927004746,ecology,0,np.random.exponential
10% resolution,50,mean pairwise distance,517.0,0.24474022143750518,ecology,0,np.random.exponential
1% resolution,50,mean pairwise distance,466.0,0.0978155582114959,ecology,0,np.random.exponential
3% resolution,50,mean pairwise distance,460.0,0.08662850412550041,ecology,0,np.random.exponential
33% resolution,50,sum distance,514.0,0.23319070659441454,ecology,0,np.random.exponential
10% resolution,50,sum distance,606.0,0.7610682552125038,ecology,0,np.random.exponential
1% resolution,50,sum distance,631.0,0.9499685188719619,ecology,0,np.random.exponential
3% resolution,50,sum distance,579.5,0.5755521344515635,ecology,0,np.random.exponential
33% resolution,50,colless-like index,420.0,0.035765089456348424,plain,0,np.random.exponential
10% resolution,50,colless-like index,499.0,0.18122946024254183,plain,0,np.random.exponential
3% resolution,50,colless-like index,513.0,0.22942816156698598,plain,0,np.random.exponential
1% resolution,50,colless-like index,626.0,0.9116062720674252,plain,0,np.random.exponential
33% resolution,50,mean evolutionary distinctiveness,556.0,0.4314327881730913,plain,0,np.random.exponential
10% resolution,50,mean evolutionary distinctiveness,634.0,0.973047420887899,plain,0,np.random.exponential
3% resolution,50,mean evolutionary distinctiveness,607.0,0.7684331661508539,plain,0,np.random.exponential
1% resolution,50,mean evolutionary distinctiveness,613.0,0.8130405737621077,plain,0,np.random.exponential
33% resolution,50,mean pairwise distance,68.0,3.851211595566846e-08,plain,0,np.random.exponential
10% resolution,50,mean pairwise distance,438.0,0.05412571718647891,plain,0,np.random.exponential
3% resolution,50,mean pairwise distance,531.0,0.30391493569853856,plain,0,np.random.exponential
