id,ancestor_list,taxon_label,ancestor_listr_,origin_time,destruction_time,ancestor_id
0,[None],31620,[None],262037.0,3072.5,0
1122,[0],31620,[0],262038.0,262040.0,0
1171,[1122],31620,[1122],262063.0,262065.0,1122
1197,[1171],31620,[1171],262072.0,262074.0,1171
1200,[1197],31391,[1197],262073.0,262075.0,1197
1213,[1197],31620,[1197],262075.0,262077.0,1197
1219,[1213],31620,[1213],262076.0,262078.0,1213
1226,[1219],31620,[1219],262077.0,262079.0,1219
1232,[1200],31391,[1200],262078.0,262080.0,1200
1264,[1232],31391,[1232],262081.0,262083.0,1232
1305,[1264],26275,[1264],262084.0,262086.0,1264
1327,[1219],26628,[1219],262085.0,262087.0,1219
1343,[1327],19203,[1327],262086.0,262088.0,1327
1369,[1264],11312,[1264],262088.0,262090.0,1264
1459,[1343],10257,[1343],262092.0,262094.0,1343
1492,[1305],26275,[1305],262094.0,262096.0,1305
1503,[1459],10257,[1459],262094.0,262096.0,1459
1504,[1343],19203,[1343],262094.0,262096.0,1343
1536,[1264],31391,[1264],262096.0,262098.0,1264
1547,[1226],31620,[1226],262096.0,262098.0,1226
1549,[1327],26628,[1327],262096.0,262098.0,1327
1551,[1503],10257,[1503],262096.0,262098.0,1503
1574,[1547],31620,[1547],262097.0,262099.0,1547
1604,[1574],31620,[1574],262098.0,262100.0,1574
1605,[1574],30895,[1574],262098.0,262100.0,1574
1612,[1551],10257,[1551],262098.0,262100.0,1551
1699,[1536],31391,[1536],262101.0,262103.0,1536
1715,[1604],30910,[1604],262101.0,262103.0,1604
1755,[1715],30910,[1715],262102.0,262104.0,1715
1761,[1605],30895,[1605],262102.0,262104.0,1605
1785,[1369],11312,[1369],262103.0,262105.0,1369
1827,[1699],31391,[1699],262104.0,262106.0,1699
1846,[1755],30910,[1755],262104.0,262106.0,1755
1895,[1846],30910,[1846],262105.0,262107.0,1846
1926,[1827],31391,[1827],262106.0,262108.0,1827
1986,[1785],11312,[1785],262107.0,262109.0,1785
2060,[1895],30910,[1895],262108.0,262110.0,1895
2068,[1604],31620,[1604],262108.0,262110.0,1604
2196,[1761],30895,[1761],262110.0,262112.0,1761
2210,[1504],19203,[1504],262110.0,262112.0,1504
2270,[1612],10257,[1612],262111.0,262113.0,1612
2284,[1926],31391,[1926],262112.0,262114.0,1926
2326,[2196],30895,[2196],262112.0,262114.0,2196
2331,[1226],27558,[1226],262112.0,262114.0,1226
2393,[2068],30827,[2068],262113.0,262115.0,2068
2405,[1549],26628,[1549],262113.0,262115.0,1549
2427,[2284],31391,[2284],262114.0,262116.0,2284
2468,[1715],21441,[1715],262114.0,262116.0,1715
2470,[2393],30827,[2393],262114.0,262116.0,2393
2475,[2326],30895,[2326],262114.0,262116.0,2326
2506,[2427],31391,[2427],262115.0,262117.0,2427
2566,[2405],26628,[2405],262115.0,262117.0,2405
2589,[2506],31391,[2506],262116.0,262118.0,2506
