id,ancestor_list,origin_time,destruction_time,num_orgs,tot_orgs,num_offspring,total_offspring,depth,sequence
25212873,[25204358],100000,inf,1,1,0,0,5987,xwtjagcvslnanvybyjaybvrvkvdulqcusrabvfpmamjmcilruvoycitlmcbavotvffkuasscocsiskltaubaovlcbvnptkdvyajqzvvvvfcjvvgacp
25212870,[25208818],100000,inf,1,1,0,0,5986,xwtjagcvslnanvybyjaybvrvkvdulqcqsrvbvbdfamjiciirypodciylzcpaokvrfknpsccocsiiprtaubsbvlcbvnpyudvprkczvvvvfcjvvgafy
25212869,[25204540],100000,inf,1,1,0,0,5982,xwtjagcvslhjivybqjaybrvavdwlqeuszvovfpbamjiciyryjodciypzcpivokvyfkupsscocsiokrtaubsbvlcbvrpudvdjkczvvvvfcjvvgaiyxwtjagc
25212868,[25211121],100000,inf,1,1,0,0,5980,xwtjagcvajzbtgjyyaybmbutzbnwjmpcwvvujvylzdcrkoaqcwdcvuvximvyvapqzipupilpcvfromljctovfwtbwjvezuomyqyzvvnvfcjvvgaou
25212866,[25210888],100000,inf,1,1,0,0,5992,xwtjagcvslnanvybytaybvrvkvdulqcusrabvfpmcmjicxamyvoominlmcpavwmvffkutlscozsjokltaubsbvccbvnptedvyalqzvvvvfcjvvgacp
25212863,[25208566],100000,inf,1,1,0,0,5959,xxwjjagcvajbbtkbylayufqphbznwnhfmuvvduvyyrdcqknjmcsluvunvjimwvtubpikupwlpvfcsxljctmvjbvlwwvozuwltqyzvvvvfcjvgao
25212862,[25210685],100000,inf,1,1,0,0,5983,xwtjagcvsleanvwpylaybrvkvddlzeushvbvfdrazjicbydyjodckypzcpavlkvffkupsscocsxxkltaubscvpcbvnptxdvjaoczvvvvfcjvvgaiy
25212860,[25204590],100000,inf,1,1,0,0,5970,xzjgagcvkjabteyyfybfbuyzbnwowzlfvvvufvylzxcrkmaccwdivxvximvwvadbzibuswlpcvftwmdkctsvibfbwwequomyzyzkvvvfcjvvgaooxwjjmgcxwjjagc
25212859,[25205406],100000,inf,1,1,0,0,5976,xwjjagcvafzbtnmylaybfbutzbkwkwftdvvvhfvylmcvcrkmaecwdivivxcmvwvnsbzmyupwlpcvftsmyjcasvibtbwwvewuomyqyzvvvvfcjvvgaox
25212855,[25210825],100000,inf,1,1,0,0,5987,xwtjagcvslnanvybyjjybvrvkveulucuseyuvfpmamjiciaryvomcislxcpavotvtfkupskiocsiokltaubsovlcbvnptudvyalqzvvvvfcjvvgabp
25212851,[25206613],100000,inf,1,1,0,0,5974,xwxjagcvajzlthuyyaybmbhtbtkwojfmuvvvufyozrcnnvmcwdvvavijvyvasizzbepwlpcvfrsnbfckmvzbswjbozsppyqyzvvvvfcjvvgazoxwxjaxcpajzltluyyatbxwxjagcxwxjagc
25212850,[25207354],100000,inf,1,1,0,0,5964,xwbpjagcvdalwvjyymoddslvadcyafwcuvvpmcvousmczkwaicqpjxxcwyuvvsdktsqyoariiioukpkvdvqzaxuacdadycyyqpzvvvvfcjvvgapx
25212847,[25208381],100000,inf,1,1,0,0,5950,xwajaxwajagcviovrutvybynaoecvzxvxwfwjfoxvvvuzrsxubqtbawjmwkaowkofsyysdzwetkhvclvvbzhumkbjxyzluqvxxwobysryzvvvvfcjvvgambxwajaxw
25212845,[25208871],100000,inf,1,1,0,0,5987,xwtjagcvslnanvyjyjaybvrvkvdudqcusrabvfpmamjiciaryvomcinlxcpavotvfftutlscnzsjokltaubsbvccbvnptudvyalqzvvvvfcjvvgack
25212842,[25202915],100000,inf,1,1,0,0,5957,xwnjagcvvlnhnvybytaybvsvacaljrpcxvzvttmamdyxnakctcmcislzkumvwqvifkypsoqoxwtikbtkwoybbycxvejltjuwwlczvvvvfcjvvgkxyawnjagcvvlnhnvyytaybqsvamxljrpmlvzvttiamdxwnjagc
25212837,[25211146],100000,inf,1,1,0,0,5975,xwjjagcvafiitlbyyaybfbutzbnwowflfvvvufvylefcrkmaccwdivnvxcjvwvrsbyziyuprwlpcvvxsmdjstsviztbwdvewuomyxyzvvvvfcjvvgaox
25212836,[25211019],100000,inf,1,1,0,0,5965,xwljagdvofnvbhuyyaybyvhtncnwobfuvtvufvyozdcrkoapcjduvavjivivasozbbuptlicvfkscijctmvqqtbwwvoxlpmqqmzvvvvfcjvvgaroxwlaakcxwxjagc
25212834,[25204233],100000,inf,1,1,0,0,5987,xwzoagcvajnbycunyuybmbutbarwzjfmuvvtjdvyozohrxnaeccbduvuvjhivrvfsbzibfiwlpovvoomfjctmvrbtbswfozultydyzvvvvfcjvvgaoxxwzjagcvajnxwzjagcvajn
25212832,[25206445],100000,inf,1,1,0,0,5986,xwjjagcvajnbtluyypbbebutbnnworbuuvvvniwfpdkckepmcwfuvureimfpvtpbpirrrwlpcvrbsmljctmnibtblavozodyyqyzvvvvfhjvvgaoxxwjjagcvajnxwjjagcvajn
25212831,[25204230],100000,inf,1,1,0,0,5942,xwrjagcvvozqrvytyuazatxjvqvrcwmabmbmvzvkvuuospfovancvxucojzfblvyfhtbonwyecbyiusobuzowxjdlcovbllayykyzvvvvfcjvvgafi
25212830,[25210294],100000,inf,1,1,0,0,5977,btnmyykybfbuizbkwkwftdvvvhfvylmcvcrkmaecwdivibxcmvwvnsbzmyupwlpcoftsmyjcasvibtbwwvewyomyqyzvvvvfcjvvgauxxwjjagcnafz
25212829,[25211130],100000,inf,1,1,0,0,5951,xwkjagcvvxhhrhvybyncsvpovxvkluwjbmxvlvvprsjupdtcttrwiwabuzmzlykyhowatohvclovvszhmbkbjedajqqvpxbukyboyzvvvvfcjvvgahq
25212828,[25209313],100000,inf,1,1,0,0,5945,xwrjagcvvwztrvyxyuaoacxmvqvywnwysbmbvvzvivuaoaxbwvencvipcouzrblvhfhwbrnwyacbdmusobxzbjxkilccvexbdyyuyzvvvvfcjvvgawl
25212824,[25211388],100000,inf,1,1,0,0,5991,xwtjagcvslnanvybyjaybvrvkvdulqcusrabvfpmamjmcilruvoycitlmcbavotvffkuasscocsiskltaubsovlcbvnptkdvyajqzvvvvfcjvvgacp
25212819,[25208476],100000,inf,1,1,0,0,5984,xwtjaglvsleazvwpyjaybrvkvdklzeushvbvfdrazjinbydyjodccypzcpavlkvffkupsscocsxokltfubscvpcbvnptxdvjaoczvvvvfcjvvgaiy
25212815,[25210743],100000,inf,1,1,0,0,5981,xwljagcvhbfaqvybyjaybvlvkvduaxcasbvcvcpnmmxciefbeomcidezfeavxkvwflspdechcsikktaxpsbvlcavzptunvjpnrzvvvvfcjvvgntlmstiagcewljasc
25212814,[25204234],100000,inf,1,1,0,0,5982,xwjjagcvajnbtluyypyqebutbbtwkjfuvvvneyfpdkckefmacfuvuvuvmfpvtpypiqrpblecvrbsmljctmvrbtbsavozudnyqyzvvvvfcjvvgaoxxwjjagc
25212813,[25209593],100000,inf,1,1,0,0,5978,xwtjagcvslnanvybyjaybvrvcvdulqcusrvbvftmamjiciaryjomciylncpavokvpfkupsscocjiomlsaubsyvlcuvqptudvjalmzvvvvfcjvvgaiq
25212822,[25206535],100000,inf,1,1,0,0,5942,xwrjagcvjvkztmvyyuazayxivqvyqwwmsbkbvjzvbvsaozcflvencvxploczublvswuwbnnwyacbyfusobxabymjilclvepfiyyuyzvpvvfcjvvgabuxwsjagc
25212812,[25209175],100000,inf,1,1,0,0,5975,xwljagcvojnvtluyyaybybhibqlwobfidvuvufvytzddrkoamcjdvavkbvivxsozbbuptjcffisuictmvqbtbwwvoxlpmyqmzvvvvfcjvvgaroxwlmaccxwljagcxwljagc
25212809,[25211110],100000,inf,1,1,0,0,5977,xwljagcvajabtwjybaybmbuxzbnwywflivvyfvylzdcrkoaccwdfvjvoirvyvasxzimupwlwcvfzsmtjccovrbtbawvezuumywyzvvvvfcjvvgaxq
25212804,[25211104],100000,inf,1,1,0,0,5946,xwrjagcvvwztrvyxyuaoacxmvqvywnwysbmbvvzvxvuaokxbwvencvipcouzrblvhfhwbrnwyacbdmusobqzbjxkilccvexbdyyuyzvvvvfcjvvgawl
