id,ancestor_list,loc,trait,origin_time,island,niche,ancestor_id
0,[none],0,,0,0,0,0
433728,[0],31377,186.62982,36144,980,0,0
915913,[0],3620,-540.1175,73236,113,0,0
1025508,[0],11164,-155.19583,81064,348,0,0
1206406,[0],8636,235.82448,93124,269,0,0
1509827,[915913],4408,-379.3405,112088,137,0,915913
2307372,[0],19007,-227.22487,159002,593,0,0
2337031,[1025508],9932,-246.22223,160650,310,0,1025508
2464623,[0],23210,606.54865,167365,725,0,0
2522820,[2307372],19585,-203.77518,170275,612,0,2307372
2619565,[2307372],18373,-196.65579,174882,574,0,2307372
2656487,[0],26290,26.699339,176560,821,0,0
2931926,[0],14170,-476.0742,188536,442,0,0
3245014,[2656487],26127,-215.83939,201581,816,0,2656487
3296612,[2464623],23780,934.8819,203645,743,0,2464623
3326623,[915913],2532,-349.71408,204800,79,0,915913
3363771,[0],28914,-14.301021,206175,903,0,0
3423701,[2337031],9338,-191.98328,208316,291,0,2337031
3531171,[1509827],4566,-95.356,212022,142,0,1509827
3726983,[1206406],7936,-107.39392,218549,248,0,1206406
3873169,[433728],30625,322.10883,223264,957,0,433728
3918405,[2619565],18806,-239.22258,224678,587,0,2619565
4115541,[1025508],12322,121.06502,230652,385,0,1025508
4195352,[3245014],25109,-218.79002,232999,784,0,3245014
4271324,[2931926],13473,-294.43347,235170,421,0,2931926
4322813,[2464623],23021,933.744,236600,719,0,2464623
4344598,[0],16597,-916.6231,237189,518,0,0
4390051,[2522820],20559,-213.27242,238385,642,0,2522820
4476327,[3245014],26995,-286.52026,240597,843,0,3245014
4477257,[3531171],4100,162.23415,240621,128,0,3531171
4529218,[4344598],16367,-995.2405,241888,511,0,4344598
4574529,[2337031],11049,-44.10853,242967,345,0,2337031
4585437,[433728],382,1046.199,243221,11,0,433728
4639127,[3726983],8614,-203.90224,244441,269,0,3726983
4672868,[3326623],2514,-440.51987,245191,78,0,3326623
4686235,[0],21111,-710.12396,245481,659,0,0
4759120,[4271324],14124,-367.235,247032,441,0,4271324
4780241,[2931926],14523,-441.206,247472,453,0,2931926
4783413,[3726983],7491,-221.78531,247537,234,0,3726983
4794878,[4529218],16452,-1007.50494,247766,514,0,4529218
4831782,[3531171],5111,19.338896,248490,159,0,3531171
4836144,[3326623],1594,-594.9073,248574,49,0,3326623
4849180,[4836144],1491,-591.59607,248820,46,0,4836144
4887960,[4831782],5312,-5.6701694,249538,166,0,4831782
4930475,[4887960],5278,17.559164,250311,164,0,4887960
4936532,[3423701],10230,-153.02547,250419,319,0,3423701
4946257,[4585437],59,995.34,250590,1,0,4585437
4957779,[3918405],18802,-217.53333,250788,587,0,3918405
4961182,[3423701],9239,-227.31696,250846,288,0,3423701
4964307,[4115541],11851,-16.8933,250898,370,0,4115541
4974646,[3363771],29653,-256.31967,251067,926,0,3363771
4990016,[4195352],25654,-49.300266,251315,801,0,4195352
4995021,[4639127],8264,-328.89578,251395,258,0,4639127
4995313,[4476327],26467,-310.215,251399,827,0,4476327
5032032,[3296612],24317,1124.5609,251964,759,0,3296612
