id,ancestor_list,loc,trait,origin_time,island,niche,ancestor_id
0,[none],0,,0,0,0,0
187062,[0],29567,209099.52,187062,0,7,0
292720,[187062],31831,268157.22,239891,0,7,187062
309913,[292720],31929,274570.88,245622,0,7,292720
331749,[309913],29466,280663.25,251081,0,7,309913
339568,[331749],24713,282404.75,252645,0,6,331749
360802,[339568],27716,286352.0,256184,0,6,339568
370460,[339568],12416,287910.66,257564,0,3,339568
405471,[331749],30885,292779.8,261940,0,7,331749
405711,[370460],22394,292830.72,261967,0,5,370460
405799,[360802],19446,292826.12,261976,0,4,360802
406142,[405711],22095,292875.34,262007,0,5,405711
406191,[360802],27270,292861.47,262011,0,6,360802
406517,[405471],29337,292888.16,262036,0,7,405471
406525,[406142],21508,292910.03,262037,0,5,406142
406597,[405799],16520,292896.75,262042,0,4,405799
406620,[406191],27368,292896.75,262043,0,6,406191
406640,[406517],32565,292898.34,262044,0,7,406517
406695,[187062],1579,292837.9,262048,0,0,187062
406903,[406695],1156,292855.25,262059,0,0,406695
407081,[406640],32623,292922.2,262067,0,7,406640
407106,[309913],6510,292911.56,262069,0,1,309913
407108,[370460],13566,292950.8,262069,0,3,370460
407226,[405799],19665,292930.97,262074,0,4,405799
407303,[406620],27245,292935.47,262077,0,6,406620
407329,[407303],27648,292937.66,262078,0,6,407303
407354,[407329],26933,292937.66,262079,0,6,407329
407364,[406695],3071,292876.66,262080,0,0,406695
407380,[407329],26652,292937.6,262080,0,6,407329
407402,[406142],20965,292955.9,262081,0,5,406142
407427,[407226],16586,292942.62,262082,0,4,407226
407430,[406597],20438,292941.88,262082,0,4,406597
407479,[406517],31053,292939.4,262083,0,7,406517
407498,[406525],22448,292958.47,262084,0,5,406525
407537,[405711],23896,292961.4,262085,0,5,405711
407614,[407354],27012,292946.03,262087,0,6,407354
407628,[407106],6923,292934.78,262088,0,1,407106
407667,[292720],10955,292893.22,262089,0,2,292720
407690,[407614],27951,292947.8,262089,0,6,407614
407718,[407498],22718,292967.44,262090,0,5,407498
407746,[407667],11620,292895.72,262091,0,2,407667
407760,[407718],23069,292968.47,262091,0,5,407718
407767,[407690],26516,292949.4,262091,0,6,407690
407800,[407718],21588,292968.94,262092,0,5,407718
407834,[407108],14474,292978.94,262093,0,3,407108
407888,[407800],21002,292968.34,262094,0,5,407800
407933,[407537],20742,292973.84,262095,0,5,407537
407938,[407498],22839,292971.06,262095,0,5,407498
407946,[407767],25311,292954.2,262095,0,6,407767
408000,[407767],25094,292957.22,262096,0,6,407767
408022,[407834],13770,292982.2,262097,0,3,407834
408052,[408000],26820,292958.28,262097,0,6,408000
408067,[407106],7228,292946.66,262098,0,1,407106
408093,[407537],23516,292974.1,262098,0,5,407537
408097,[407354],25341,292956.12,262098,0,6,407354
408123,[407746],8360,292902.72,262099,0,2,407746
408151,[408052],24593,292959.34,262099,0,6,408052
408173,[406903],2356,292898.62,262100,0,0,406903
408175,[406903],4014,292897.75,262100,0,0,406903
408196,[407760],21162,292976.56,262100,0,5,407760
408228,[407479],30070,292957.53,262100,0,7,407479
408237,[408067],5228,292949.1,262101,0,1,408067
408248,[408022],15893,292989.34,262101,0,3,408022
408260,[408196],21086,292978.97,262101,0,5,408196
408267,[407888],23740,292978.38,262101,0,5,407888
408282,[408097],28329,292960.78,262101,0,6,408097
408357,[407081],31643,292962.84,262102,0,7,407081
408407,[408097],24640,292961.06,262103,0,6,408097
408427,[408357],29618,292964.22,262103,0,7,408357
408462,[407402],21843,292981.22,262104,0,5,407402
408469,[406525],23195,292979.2,262104,0,5,406525
408527,[407427],20137,292966.1,262105,0,4,407427
408545,[407933],23878,292982.44,262105,0,5,407933
408567,[408427],29804,292963.75,262105,0,7,408427
408583,[408237],4471,292954.62,262106,0,1,408237
408654,[408175],2186,292907.34,262107,0,0,408175
408664,[407746],9157,292910.3,262107,0,2,407746
408665,[408123],9373,292910.22,262107,0,2,408123
408741,[407667],9065,292910.9,262108,0,2,407667
408762,[408267],21259,292984.75,262108,0,5,408267
408763,[407938],21336,292984.5,262108,0,5,407938
408815,[408583],4148,292958.78,262109,0,1,408583
408836,[408527],19055,292970.84,262109,0,4,408527
408862,[407933],24397,292987.2,262109,0,5,407933
408871,[407946],26391,292969.28,262109,0,6,407946
408893,[408654],1162,292910.06,262110,0,0,408654
408956,[408097],26320,292968.53,262110,0,6,408097
408965,[408151],28341,292970.84,262110,0,6,408151
408969,[408228],29245,292971.16,262110,0,7,408228
408971,[408567],29443,292968.88,262110,0,7,408567
409006,[407430],16922,292971.38,262111,0,4,407430
409011,[408836],20154,292973.1,262111,0,4,408836
409026,[408862],22634,292988.22,262111,0,5,408862
409041,[407614],25117,292971.12,262111,0,6,407614
409096,[408248],15181,292998.97,262112,0,3,408248
409141,[408956],26058,292970.8,262112,0,6,408956
409183,[408664],10469,292918.12,262113,0,2,408664
409202,[409011],19836,292974.78,262113,0,4,409011
409237,[409141],25501,292973.78,262113,0,6,409141
409295,[409202],17150,292976.3,262114,0,4,409202
409301,[409202],19176,292976.3,262114,0,4,409202
409374,[408067],5126,292967.16,262115,0,1,408067
409403,[409006],18926,292978.66,262115,0,4,409006
409414,[408093],21234,292992.2,262115,0,5,408093
409429,[408545],23497,292993.16,262115,0,5,408545
409430,[408762],23581,292991.22,262115,0,5,408762
409435,[409041],24631,292975.47,262115,0,6,409041
409470,[408654],318,292916.16,262116,0,0,408654
409476,[408893],1584,292916.0,262116,0,0,408893
409478,[408237],4687,292963.5,262116,0,1,408237
409480,[409374],5543,292969.75,262116,0,1,409374
409485,[408583],8148,292964.7,262116,0,1,408583
409490,[408741],10381,292921.16,262116,0,2,408741
409492,[409183],11903,292920.25,262116,0,2,409183
409520,[409414],21242,292993.1,262116,0,5,409414
409538,[408763],23601,292992.1,262116,0,5,408763
409550,[409435],25420,292976.62,262116,0,6,409435
409563,[408965],27873,292975.1,262116,0,6,408965
409582,[409476],2239,292917.25,262117,0,0,409476
409585,[408173],2522,292913.53,262117,0,0,408173
409600,[409480],7989,292969.6,262117,0,1,409480
409624,[409011],18503,292979.72,262117,0,4,409011
409639,[407938],21715,292993.94,262117,0,5,407938
409663,[409563],24675,292977.03,262117,0,6,409563
409704,[409582],927,292918.88,262118,0,0,409582
409721,[409480],6339,292968.97,262118,0,1,409480
409726,[409600],8018,292970.28,262118,0,1,409600
409736,[409490],12151,292923.28,262118,0,2,409490
409739,[407834],12805,293007.12,262118,0,3,407834
409771,[409414],22054,292995.5,262118,0,5,409414
409794,[408407],25199,292977.22,262118,0,6,408407
409803,[407303],26782,292976.88,262118,0,6,407303
409810,[409041],27666,292977.66,262118,0,6,409041
409845,[409374],4246,292968.5,262119,0,1,409374
409849,[407628],6062,292967.1,262119,0,1,407628
409851,[408815],6431,292968.66,262119,0,1,408815
409857,[409600],7739,292970.12,262119,0,1,409600
409858,[409478],8124,292966.6,262119,0,1,409478
409860,[409492],8641,292924.06,262119,0,2,409492
409866,[409183],10571,292924.88,262119,0,2,409183
409882,[409403],17518,292984.47,262119,0,4,409403
409890,[409301],19033,292979.88,262119,0,4,409301
409899,[409520],20926,292998.0,262119,0,5,409520
409913,[409429],22744,292997.72,262119,0,5,409429
409929,[409435],24697,292980.28,262119,0,6,409435
409958,[408969],28833,292980.28,262119,0,7,408969
409971,[409704],632,292922.34,262120,0,0,409704
409982,[409470],3112,292919.38,262120,0,0,409470
409983,[408173],3620,292919.97,262120,0,0,408173
409986,[409857],4685,292970.66,262120,0,1,409857
409987,[409726],4812,292972.84,262120,0,1,409726
410025,[409006],16396,292982.34,262120,0,4,409006
410039,[409882],19684,292986.56,262120,0,4,409882
410043,[409771],20629,292999.6,262120,0,5,409771
410083,[409929],24951,292981.88,262120,0,6,409929
410127,[409971],1039,292923.47,262121,0,0,409971
410141,[409857],4343,292969.28,262121,0,1,409857
410142,[409726],4448,292971.66,262121,0,1,409726
410147,[409986],5081,292971.5,262121,0,1,409986
410181,[408022],15089,293008.53,262121,0,3,408022
410204,[408093],20812,292999.7,262121,0,5,408093
410241,[408151],25109,292982.34,262121,0,6,408151
410244,[410083],25319,292983.47,262121,0,6,410083
410245,[409663],25340,292979.78,262121,0,6,409663
410248,[408871],25520,292978.5,262121,0,6,408871
410288,[409704],516,292922.3,262122,0,0,409704
410303,[409478],4609,292973.7,262122,0,1,409478
410318,[409986],6624,292972.53,262122,0,1,409986
410324,[410147],7979,292972.7,262122,0,1,410147
410328,[408665],8209,292925.88,262122,0,2,408665
410342,[410181],12591,293010.72,262122,0,3,410181
410344,[409096],14615,293010.12,262122,0,3,409096
410352,[409882],16689,292987.8,262122,0,4,409882
410377,[410043],21427,293001.22,262122,0,5,410043
410393,[409429],23163,292999.44,262122,0,5,409429
410406,[409520],24530,293000.03,262122,0,5,409520
410407,[406620],24577,292982.1,262122,0,6,406620
410414,[409794],25524,292982.3,262122,0,6,409794
410418,[408282],25671,292982.03,262122,0,6,408282
410431,[407380],26954,292981.75,262122,0,6,407380
410435,[406191],27071,292981.44,262122,0,6,406191
410447,[408971],30384,292980.88,262122,0,7,408971
410461,[409982],924,292925.66,262123,0,0,409982
410470,[410288],2872,292925.12,262123,0,0,410288
410473,[410127],3957,292925.38,262123,0,0,410127
410476,[410141],4390,292971.78,262123,0,1,410141
410483,[410324],5200,292974.28,262123,0,1,410324
410508,[410328],9745,292928.12,262123,0,2,410328
410518,[409736],11725,292927.75,262123,0,2,409736
410521,[410344],12882,293012.16,262123,0,3,410344
410525,[410344],14025,293012.16,262123,0,3,410344
410533,[410039],17228,292989.66,262123,0,4,410039
410539,[410039],18373,292988.0,262123,0,4,410039
410542,[410025],18698,292987.75,262123,0,4,410025
410548,[410352],19581,292989.5,262123,0,4,410352
410577,[409639],23417,293002.2,262123,0,5,409639
410584,[409538],24160,293003.22,262123,0,5,409538
410595,[407690],25002,292982.2,262123,0,6,407690
410596,[410435],25120,292982.56,262123,0,6,410435
410603,[409550],25658,292985.1,262123,0,6,409550
410609,[409563],26187,292984.0,262123,0,6,409563
410614,[408965],26634,292980.88,262123,0,6,408965
410632,[409810],28610,292984.12,262123,0,6,409810
410634,[410447],28902,292983.8,262123,0,7,410447
410639,[408971],31007,292982.44,262123,0,7,408971
410644,[405471],32013,292983.12,262123,0,7,405471
410649,[410288],879,292926.5,262124,0,0,410288
410655,[410127],2156,292924.94,262124,0,0,410127
